Cod_ibge,Municipio,idx_riesgo_ambiental,riesgo_salud_norm,riesgo_clima_norm,riesgo_nutricion_norm,idx_vulnerabilidad_socio,cat_vulnerabilidad,idx_gobernanza,idx_biodiv,pct_rural,pct_pobreza,pct_preta,pct_indigena,population,mean_species_richness,UAI_housing,UAI_env,UAI_food,UAI_mob,UAI_Crisk
3536208,Pariquera-Açu,37.148607853084414,16.34651077738187,46.22254466729477,60.6049283760688,30.85580492747941,Alta,0.5519999999999999,74.49583714939641,25.8,0.36094376177711723,4.466679051991826,0.6555375673452056,18839.5,678.358974358974,0.33,0.63,1.0,0.4,0.4
3521200,Iporanga,22.316127463287188,26.48987713524937,2.2855633185663105,54.029756408804566,72.95019970448,Alta,0.246,85.87584742868845,53.2,1.7807070101857398,13.229478729778311,0.21569802276812464,4172.5,660.485333333333,0.0,0.38,0.25,0.4,0.2
3502705,Apiaí,43.639381686421196,16.255644400268444,54.85630137683359,75.97301687790188,19.081525143533273,Alta,0.416,71.043421724132,21.5,0.29130504660880746,4.0421086467373835,0.08036001285760207,24888.0,636.427215189873,0.0,0.63,0.25,0.4,0.8
3514809,Eldorado,34.09228026219382,16.577125106857014,34.26068707528099,68.78577694669306,57.66621145534018,Alta,0.476,83.23323982642825,47.4,0.5420425839047275,12.20498015156983,0.5701912666907253,13855.0,675.707224334601,0.33,0.5,0.75,0.4,0.4
3532827,Nova Campina,25.23078343446058,0.0,23.569158557138834,79.01560005802523,25.935795400078167,Alta,0.346,59.10111728623069,29.0,0.8887843874911826,2.468845520808841,0.04702562896778745,8506.0,647.612903225806,0.33,0.25,0.75,0.2,0.2
3517604,Guapiara,29.922077221459308,6.304741943182414,26.741473238172635,83.51795574458643,30.637589238528694,Alta,0.346,65.75149007788285,59.5,0.40434571844078815,1.613961048219225,0.03706977672588326,17534.5,691.038759689922,0.33,0.5,0.5,0.2,0.2
3541000,Praia Grande,41.91643785342394,4.791094633559855,100.0,0.0,15.758800656740076,Media,0.606,74.10563212088039,0.3,0.024706447533113497,7.76341288853013,0.14722559012787875,305993.0,653.717391304348,1.0,0.63,0.0,1.0,0.4
3522109,Itanhaém,46.55364262633241,13.78989105858914,89.06212173312342,27.064187548236944,19.029465714365713,Alta,0.704,82.513320842589,1.1,0.07878396054787928,7.114111450236302,0.4039432073892539,99766.5,651.775401069519,0.67,0.5,0.75,1.0,0.6
3551009,São Vicente,44.79976905675812,4.489071033001494,65.11147741693742,84.79774838391279,17.94833806765497,Alta,0.8,70.72661976758286,0.1,0.024307170162269232,8.951832549263539,0.12757489929886648,331178.0,616.061224489796,1.0,0.5,0.5,1.0,1.0
3553500,Tapiraí,30.912157268022284,28.858932391251052,19.19086366792749,58.46119422175433,46.58214079278296,Alta,0.21,87.02968817926566,29.3,0.902048975512244,5.266116941529235,1.0557221389305347,8004.0,683.244979919679,0.0,0.25,0.0,0.4,0.4
3518701,Guarujá,14.308445687898786,4.027767476330822,31.74334674341614,0.0,16.77329612392983,Media,0.746,68.0055706057777,0.3,0.02631460650845629,8.101510064213173,0.16597912120971117,289193.0,645.133333333333,1.0,0.63,0.5,1.0,0.6
3526209,Juquitiba,36.78810244638756,13.210230781498353,59.099548662563976,39.320953343813144,30.07219536656225,Alta,0.4640000000000001,85.05085186257745,42.7,0.2611282307048325,4.8948184036622076,0.1246860583174507,28070.5,696.081395348837,0.67,0.5,0.75,0.2,0.2
3510203,Capão Bonito,37.07144673852352,8.950534529163008,40.17669030521432,87.10278402386295,11.032345459066448,Baja,0.544,65.14363375600429,14.9,0.14657082635248336,2.308814786791331,0.10052423931254391,46257.5,706.106666666667,0.67,0.75,0.5,0.6,0.2
3548500,Santos,49.159872442001706,9.398291871175825,88.41532912784092,50.172120211975,10.48792233575357,Baja,0.8460000000000001,72.09036185659676,0.1,0.016873347271147768,5.716055216656643,0.09928306173688078,419004.0,608.626373626374,1.0,0.88,0.75,0.6,1.0
3520400,Ilhabela,17.547896204456592,33.64862577295163,10.221114738189849,0.0,18.465864270387875,Alta,0.6900000000000001,47.05,3.1,0.21289402819578648,6.447014097893236,0.2867099635672422,31565.0,252.258620689655,1.0,0.5,0.75,0.6,0.6
3522208,Itapecerica da Serra,49.665386337060454,6.785912802709476,89.67636006457812,55.40238595072707,21.8292435036258,Alta,0.526,72.42844833473718,5.5,0.045060680859816925,9.464028591998353,0.14495268949912576,155568.0,715.041666666667,1.0,0.63,0.0,0.4,0.6
3513801,Diadema,42.933767526835034,7.75476246266664,99.57965635442095,0.0,17.87956481121574,Alta,0.65,31.23864252054548,0.0,0.01683506003905939,9.317281856373327,0.07698960383716186,389663.0,511.666666666667,1.0,0.75,0.5,0.6,0.4
3550704,São Sebastião,37.50434413788478,21.390487957357152,41.08496770323678,62.57080936823603,22.391943432271695,Alta,0.716,82.16967804810363,1.6,0.09579714151616657,7.877225354738744,0.4950590534728071,77768.5,635.68253968254,1.0,0.88,0.5,0.6,0.6
3506359,Bertioga,21.400157446074786,18.836537463382136,34.66385615180482,0.0,24.543697547176567,Alta,0.626,82.64808868622362,1.1,0.13216134772383825,8.758595405649496,0.4953815063532231,55916.5,661.71974522293,1.0,0.88,0.25,1.0,0.0
3548708,São Bernardo do Campo,46.651046484726464,3.5572477012363732,85.54733337753676,55.04607026608603,11.659014189624713,Baja,0.72,68.36077469437929,0.5,0.008488813545557902,6.124127009907422,0.11553161036218938,788096.0,677.5,1.0,1.0,0.0,1.0,0.6
