cod_ibge,Municipio,nome_microrregiao,idx_gobernanza,idx_vulnerabilidad,idx_riesgo_total,idx_riesgo_salud,idx_riesgo_clima,idx_riesgo_nutricion
353490,Pacaembu,Adamantina,0.296,25.707374886100848,63.34865273581903,57.5,51.86363636363637,98.0159909518224
353510,Palmares Paulista,Catanduva,0.2659999999999999,18.637424286609445,61.102133818589266,57.5,50.0,90.51066909294632
354995,São Lourenço da Serra,Itapecerica da Serra,0.2699999999999999,27.56823886632088,58.564947127392756,62.5,62.36363636363637,43.097462909691
352990,Miracatu,Registro,0.246,22.985449514371275,58.48712413791448,77.5,38.42857142857143,60.578477832429535
350560,Barrinha,Ribeirão Preto,0.186,19.4681147021346,57.24960801278574,65.0,30.519480519480517,95.20907902496764
351600,Flórida Paulista,Adamantina,0.3259999999999999,16.666016282565387,56.95081783760843,60.0,32.467532467532465,99.81902425297721
354940,São Joaquim da Barra,São Joaquim da Barra,0.296,18.010886034317625,56.736723776537914,52.5,40.90909090909091,96.86543706450776
353020,Mirante do Paranapanema,Presidente Prudente,0.2299999999999999,22.22028701678949,55.51769647747076,52.5,37.01298701298701,98.56250836137977
353120,Monte Alegre do Sul,Amparo,0.176,20.271034655264163,53.85841313988225,50.0,44.15584415584416,80.98037738772294
352700,Lindóia,Amparo,0.246,16.33923039379515,53.62851596509117,40.0,49.07142857142857,89.99972268259869
353480,Ouro Verde,Dracena,0.29,15.89099657598601,53.547128081068344,50.0,34.41558441558442,98.90447157417287
355090,São Simão,Ribeirão Preto,0.346,19.16575224075417,53.204679839525674,50.0,37.662337662337656,90.69872387295305
353280,Nova Aliança,São José do Rio Preto,0.3059999999999999,17.342525493262247,53.10760471898781,52.5,33.116883116883116,94.30425736117282
352885,Marapoama,Novo Horizonte,0.09,21.904742760654862,52.48856568076446,45.0,38.96103896103896,94.52075048174439
355690,Vista Alegre do Alto,Jaboticabal,0.32,16.50037549972942,52.04718772169521,37.5,45.45454545454545,94.32684769938511
354920,São João das Duas Pontes,Fernandópolis,0.18,21.883761602489,51.78031396423904,47.5,33.116883116883116,97.66780358742896
350770,Braúna,Birigui,0.286,20.641292667756115,51.410735139664204,47.5,31.818181818181817,98.41731206195738
353400,Onda Verde,São José do Rio Preto,0.08,24.93997566921187,51.194009000226615,45.0,40.259740259740255,85.45056448165252
350660,Biritiba Mirim,Mogi das Cruzes,0.256,16.25189823718267,50.85117314912935,45.0,42.85714285714286,78.54158003136101
350275,Araçariguama,Sorocaba,0.254,19.35981917118206,50.78190953524226,55.0,38.96103896103896,65.98746975413339
354510,Salmourão,Adamantina,0.2799999999999999,19.19396567017269,50.69473786060507,52.5,25.974025974025977,96.52563735497343
354810,Santo Antônio do Jardim,São João da Boa Vista,0.3299999999999999,24.264372729761284,50.49809365591237,45.0,35.064935064935064,92.36059814969175
354420,Riolândia,Votuporanga,0.33,24.74235448114566,50.32559327571781,50.0,27.92207792207792,95.78381053443317
353240,Nazaré Paulista,Bragança Paulista,0.256,26.74225849866013,50.29195656697604,50.0,40.90909090909091,69.64160101669842
352160,Irapuru,Adamantina,0.2299999999999999,25.958244572422203,50.21351497029228,40.0,36.36363636363637,98.34030212418867
354650,Santa Ernestina,Jaboticabal,0.3139999999999999,17.36771768951957,49.99754727575552,30.0,45.45454545454545,99.0786454696867
353100,Monções,Nhandeara,0.24,24.03579504738573,49.890804597571446,40.0,37.01298701298701,95.42804896188318
351390,Divinolândia,São João da Boa Vista,0.19,17.239656473930474,49.8129171000278,45.0,35.714285714285715,87.63601407156759
355320,Taiúva,Jaboticabal,0.19,19.33013871928659,49.772509753065336,35.0,40.259740259740255,98.34306824584618
352550,Joanópolis,Bragança Paulista,0.296,16.513182755890593,49.51814848644524,52.5,29.87012987012987,82.85048269196645
355490,Três Fronteiras,Jales,0.3299999999999999,15.77298682781402,49.49478453224425,35.0,38.96103896103896,99.55184473914335
353680,Pedra Bela,Amparo,0.2799999999999999,33.8880493997038,49.2647065359055,32.5,45.272727272727266,90.77807813407298
351492,Elisiário,Catanduva,0.3239999999999999,20.65549828999484,49.19171046069553,30.0,44.8051948051948,96.34816269308804
354290,Ribeirão Bonito,São Carlos,0.12,22.20323249512257,49.02180367145533,37.5,38.96103896103896,92.18694043519874
354050,Porangaba,Tatuí,0.256,24.20101762251025,48.878946490647735,20.0,54.46103896103896,95.47265453116074
353910,Pirapora do Bom Jesus,Osasco,0.17,18.54685791220318,48.57892103661146,55.0,30.519480519480517,71.85564414409625
350995,Canas,Guaratinguetá,0.17,23.64315452645412,48.55609544567766,35.0,37.01298701298701,98.75450320241428
352380,Itobi,São João da Boa Vista,0.1,21.66274153338499,48.4715198163243,35.0,38.31168831168831,95.7342224582449
355140,Serra Azul,Ribeirão Preto,0.2699999999999999,20.94635449312112,48.360660999808275,37.5,37.01298701298701,92.77733097306734
355695,Vitória Brasil,Jales,0.09,31.297866635009623,48.11439737950795,32.5,39.6103896103896,96.35120767676054
353090,Mombuca,Piracicaba,0.2299999999999999,26.360922876754124,48.10653367756511,22.5,49.41558441558442,96.70149955665673
353160,Monte Castelo,Dracena,0.3059999999999999,20.394390230709845,48.044883044253964,50.0,20.77922077922078,98.66597366282824
350440,Avanhandava,Birigui,0.1399999999999999,17.420999810891026,47.95907357096866,40.0,31.818181818181817,96.15900421847967
354120,Presidente Bernardes,Presidente Prudente,0.2659999999999999,20.24486277110049,47.93939378241159,45.0,26.623376623376622,96.4502156653047
351660,Gália,Marília,0.2759999999999999,21.847582015176776,47.879761585284655,40.0,34.41558441558442,90.56763909525442
