outcome,health_var,climate_var,coef_health,p_health,coef_climate,p_climate,coef_interaction,se_interaction,p_interaction,aic_interaction,aic_additive,delta_aic,r2_marginal,n,interaction_significant,interaction_improves_fit,pair_name,theory_driven
idx_gobernanza,incidence_diarrhea_mean,flooding_risks,-0.057882132206425116,0.15997283059243772,0.18248356161528775,0.00014543210255612763,-0.09333346060626062,0.08509640092348922,0.2727302274122252,1638.2213078179993,1637.4237997527462,0.7975080652531688,0.13372637284937383,645,False,False,Diarrea-Inundacion,True
UAI_Crisk,incidence_diarrhea_mean,flooding_risks,-0.13572116595563027,0.5408297929495757,0.9897805928977427,0.00014751490751959806,-0.10844112489584523,0.47276401150221364,0.8185760191064045,3852.95542945324,3851.008040059264,1.9473893939757545,0.049648333674034914,645,False,False,Diarrea-Inundacion,True
UAI_env,incidence_diarrhea_mean,flooding_risks,-0.14769978311717966,0.31400972958713125,0.18992118738842323,0.26297172180174844,-0.5499697336605874,0.31030346056771785,0.07633466096891262,3304.830770079231,3305.9640563583825,-1.1332862791514344,0.03746158469462657,645,False,True,Diarrea-Inundacion,True
idx_gobernanza,incidence_mean_dengue,hydric_stress_risk,0.09372953895494339,0.035434319464013674,0.1477057147853362,3.197545738548466e-05,0.002264790429528157,0.030978007684548153,0.9417188849690655,1645.5340589901834,1643.5394039190687,1.994655071114721,0.13651986720935344,645,False,False,Dengue-Estres Hidrico,True
UAI_Crisk,incidence_mean_dengue,hydric_stress_risk,-0.43331889478791114,0.04570489238552549,0.30034646014371486,0.12563226865542979,-0.15859323022222516,0.17693776430356023,0.3700807538296842,3871.3401951659753,3870.1432969919115,1.19689817406379,0.026710907963813833,645,False,False,Dengue-Estres Hidrico,True
UAI_env,incidence_mean_dengue,hydric_stress_risk,-0.05543570486198134,0.6910270639809033,0.09943291188884866,0.44202617296431945,0.021321268181783697,0.11510032500145821,0.8530402242494473,3316.0359708746564,3314.070281434332,1.9656894403242404,0.02142019220161257,645,False,False,Dengue-Estres Hidrico,True
idx_gobernanza,incidence_mean_dengue,flooding_risks,0.09778961020550632,0.024106482487834452,0.21943541847214768,8.397654288159714e-08,0.041905060120930336,0.04625424993568721,0.36495061798023176,1634.8231259818049,1633.6431434807164,1.1799825010884888,0.14247573905046157,645,False,False,Dengue-Inundacion,True
UAI_Crisk,incidence_mean_dengue,flooding_risks,-0.4169010059939021,0.03314133834547117,0.9604489515961135,4.990164101525214e-06,-0.1963527951950475,0.24728945460154625,0.4271837353785366,3848.8141496132694,3847.447116685965,1.3670329273045354,0.05537414022981005,645,False,False,Dengue-Inundacion,True
UAI_env,incidence_mean_dengue,flooding_risks,0.03310195386326851,0.8109717565970438,0.4808726861792282,0.0004375219727141538,0.3495556609716964,0.16549019823726951,0.03466553530355507,3303.518956015683,3305.964555892514,-2.4455998768307836,0.03856845943148822,645,True,True,Dengue-Inundacion,True
idx_gobernanza,incidence_mean_malaria,forest_cover,-0.07957511117216232,0.19914870393385364,0.105200269905704,0.03703840920936428,0.01850651306994041,0.019299628228105114,0.3376065257082804,1664.7078104800712,1663.6279078959706,1.0799025841006369,0.105234857539545,645,False,False,Malaria-Bosque,True
UAI_Crisk,incidence_mean_malaria,forest_cover,-0.7221017573496485,0.0320537140994692,0.8068742090064746,0.00011896342227102348,-0.00016357012087751382,0.10556862763157465,0.9987637423658379,3854.6120190636284,3852.6120214641005,1.9999975995278874,0.04893980897923099,645,False,False,Malaria-Bosque,True
UAI_env,incidence_mean_malaria,forest_cover,-0.7835803497494791,0.00038623013885155205,-0.038891577862848345,0.7806682172786485,0.2378405819642701,0.0688575391795394,0.0005521398607766688,3303.4610493892833,3313.2889837382445,-9.827934348961207,0.037455080176372266,645,True,True,Malaria-Bosque,True
idx_gobernanza,health_hosp_resp_mean,fire_risk_index,-0.06597373295625471,0.08655918347682304,0.31317470891382604,1.205982434493529e-15,0.014664218476542663,0.04047525383715506,0.717127230301634,1604.4940339107743,1602.6253907596665,1.86864315110779,0.1842826758201224,645,False,False,Resp-Fuego,True
UAI_Crisk,health_hosp_resp_mean,fire_risk_index,-0.41184328693995464,0.05688971336045036,0.3544901376444466,0.09979216536362381,-0.016757370679056482,0.23906537093322522,0.9441177683270919,3870.4675575523916,3868.4724710536366,1.9950864987549721,0.03213111686677266,645,False,False,Resp-Fuego,True
UAI_env,health_hosp_resp_mean,fire_risk_index,-0.13146581570278373,0.32309876299981366,0.34036186826107545,0.011627086896580865,-0.19462587715230062,0.15390593212692966,0.20602305997468173,3306.6504929303146,3306.2473670669497,0.4031258633649486,0.03960966161652471,645,False,False,Resp-Fuego,True
idx_gobernanza,health_death_circ_mean,fire_risk_index,0.012952748392168952,0.7357936206943145,0.31390015877313365,7.858666813162591e-16,0.039509119368523915,0.03285145250513369,0.22910801905509215,1606.0322311097425,1605.4772148498523,0.5550162598901807,0.1820875517719683,645,False,False,Cardiovasc-Fuego,True
UAI_Crisk,health_death_circ_mean,fire_risk_index,-0.15445985273683369,0.48318989040471694,0.34931178477082814,0.11144243238361777,0.17488171751953366,0.19234781789878644,0.36324708442054077,3872.1819997636403,3871.0080402751,1.1739594885402767,0.03301328977434486,645,False,False,Cardiovasc-Fuego,True
UAI_env,health_death_circ_mean,fire_risk_index,0.018776581999858048,0.894129011819166,0.3689775206413081,0.006342908900389822,-0.058555817209178206,0.12443539195802221,0.6379463726206738,3309.008681229403,3307.2301001751666,1.7785810542363834,0.03655302535257451,645,False,False,Cardiovasc-Fuego,True
