cod,municipio,2014,2015,2016,Total
355200,355200 SILVEIRAS,1,18,1,20
355210,355210 SOCORRO,11,546,28,585
355220,355220 SOROCABA,426,56802,366,57594
355230,355230 SUD MENNUCCI,17,431,35,483
355240,355240 SUMARE,4738,14546,477,19769
355250,355250 SUZANO,45,636,478,1159
355255,355255 SUZANAPOLIS,69,199,24,292
355260,355260 TABAPUA,14,722,12,748
355270,355270 TABATINGA,7,326,290,623
355280,355280 TABOAO DA SERRA,1216,3362,408,4986
355290,355290 TACIBA,2,18,21,41
355300,355300 TAGUAI,0,32,6,38
355310,355310 TAIACU,3,114,31,148
355320,355320 TAIUVA,2,103,201,306
355330,355330 TAMBAU,286,1767,48,2101
355340,355340 TANABI,226,1802,88,2116
355350,355350 TAPIRAI,2,10,1,13
355360,355360 TAPIRATIBA,6,336,1,343
355365,355365 TAQUARAL,1,38,5,44
355370,355370 TAQUARITINGA,112,526,1605,2243
355380,355380 TAQUARITUBA,3,65,1,69
355385,355385 TAQUARIVAI,1,10,1,12
355390,355390 TARABAI,16,69,17,102
355395,355395 TARUMA,141,540,17,698
355400,355400 TATUI,32,579,129,740
355410,355410 TAUBATE,9913,2467,3323,15703
355420,355420 TEJUPA,3,2,0,5
355430,355430 TEODORO SAMPAIO,22,110,194,326
355440,355440 TERRA ROXA,8,121,10,139
355450,355450 TIETE,22,365,94,481
355460,355460 TIMBURI,0,3,2,5
355465,355465 TORRE DE PEDRA,0,6,0,6
355470,355470 TORRINHA,24,38,5,67
355475,355475 TRABIJU,57,134,2,193
355480,355480 TREMEMBE,995,416,698,2109
355490,355490 TRES FRONTEIRAS,8,202,58,268
355495,355495 TUIUTI,4,32,4,40
355500,355500 TUPA,826,2411,106,3343
355510,355510 TUPI PAULISTA,23,936,15,974
355520,355520 TURIUBA,26,84,19,129
355530,355530 TURMALINA,11,49,23,83
355535,355535 UBARANA,92,237,108,437
355540,355540 UBATUBA,1273,3131,304,4713
355550,355550 UBIRAJARA,5,118,1,124
355560,355560 UCHOA,32,404,235,671
355570,355570 UNIAO PAULISTA,0,23,20,43
355580,355580 URANIA,14,975,117,1106
355590,355590 URU,1,30,5,36
355600,355600 URUPES,11,196,65,272
355610,355610 VALENTIM GENTIL,99,123,50,272
355620,355620 VALINHOS,306,1557,159,2022
355630,355630 VALPARAISO,41,467,46,554
355635,355635 VARGEM,8,22,6,36
355640,355640 VARGEM GRANDE DO SUL,52,801,148,1001
355645,355645 VARGEM GRANDE PAULISTA,23,209,42,274
355650,355650 VARZEA PAULISTA,511,1609,38,2158
355660,355660 VERA CRUZ,14,400,12,426
355670,355670 VINHEDO,193,963,45,1201
355680,355680 VIRADOURO,91,195,91,377
355690,355690 VISTA ALEGRE DO ALTO,3,135,21,159
355695,355695 VITORIA BRASIL,10,129,52,191
355700,355700 VOTORANTIM,39,1828,57,1924
355710,355710 VOTUPORANGA,2781,1323,839,4943
355715,355715 ZACARIAS,86,179,9,274
355720,355720 CHAVANTES,2,127,44,173
355730,355730 ESTIVA GERBI,23,547,8,578
