cod,municipio,2014,2015,2016,Total
351210,351210 COLOMBIA,10,202,41,253
351220,351220 CONCHAL,6,2291,38,2335
351230,351230 CONCHAS,12,821,3,836
351240,351240 CORDEIROPOLIS,49,660,8,717
351250,351250 COROADOS,100,163,197,460
351260,351260 CORONEL MACEDO,0,5,0,5
351270,351270 CORUMBATAI,12,122,3,137
351280,351280 COSMOPOLIS,202,883,110,1195
351290,351290 COSMORAMA,22,108,25,155
351300,351300 COTIA,381,2191,228,2800
351310,351310 CRAVINHOS,106,144,220,470
351320,351320 CRISTAIS PAULISTA,3,2,22,27
351330,351330 CRUZALIA,3,129,3,135
351340,351340 CRUZEIRO,66,236,126,428
351350,351350 CUBATAO,497,809,284,1590
351360,351360 CUNHA,0,14,6,20
351370,351370 DESCALVADO,103,1272,94,1469
351380,351380 DIADEMA,841,3996,551,5388
351385,351385 DIRCE REIS,5,41,60,106
351390,351390 DIVINOLANDIA,3,7,3,13
351400,351400 DOBRADA,11,68,102,181
351410,351410 DOIS CORREGOS,82,408,7,497
351420,351420 DOLCINOPOLIS,3,178,128,309
351430,351430 DOURADO,27,28,4,59
351440,351440 DRACENA,98,1141,77,1316
351450,351450 DUARTINA,15,77,5,97
351460,351460 DUMONT,41,246,380,667
351470,351470 ECHAPORA,5,64,2,71
351480,351480 ELDORADO,5,5,11,21
351490,351490 ELIAS FAUSTO,47,1008,9,1064
351492,351492 ELISIARIO,8,201,15,224
351495,351495 EMBAUBA,1,106,9,116
351500,351500 EMBU DAS ARTES,573,1902,419,2894
351510,351510 EMBU-GUACU,30,110,51,191
351512,351512 EMILIANOPOLIS,1,2,13,16
351515,351515 ENGENHEIRO COELHO,17,540,25,582
351518,351518 ESPIRITO SANTO DO PINHAL,14,1474,93,1581
351519,351519 ESPIRITO SANTO DO TURVO,0,28,4,32
351520,351520 ESTRELA D'OESTE,205,1478,32,1715
351530,351530 ESTRELA DO NORTE,33,23,119,175
351535,351535 EUCLIDES DA CUNHA PAULISTA,29,96,175,300
351540,351540 FARTURA,1,156,4,161
351550,351550 FERNANDOPOLIS,214,1195,819,2228
351560,351560 FERNANDO PRESTES,1,34,8,43
351565,351565 FERNAO,1,8,1,10
351570,351570 FERRAZ DE VASCONCELOS,84,1063,318,1465
351580,351580 FLORA RICA,13,14,5,32
351590,351590 FLOREAL,9,19,11,39
351600,351600 FLORIDA PAULISTA,88,742,91,921
351610,351610 FLORINIA,61,265,1,327
351620,351620 FRANCA,280,1932,3481,5694
351630,351630 FRANCISCO MORATO,1532,1390,479,3401
351640,351640 FRANCO DA ROCHA,2535,1407,489,4431
351650,351650 GABRIEL MONTEIRO,14,13,28,55
351660,351660 GALIA,4,289,2,295
351670,351670 GARCA,35,1446,19,1500
351680,351680 GASTAO VIDIGAL,14,29,12,55
351685,351685 GAVIAO PEIXOTO,4,19,12,35
351690,351690 GENERAL SALGADO,122,56,182,360
351700,351700 GETULINA,15,750,13,778
351710,351710 GLICERIO,43,191,35,269
351720,351720 GUAICARA,52,413,11,476
351730,351730 GUAIMBE,1,612,4,617
351740,351740 GUAIRA,54,1344,2700,4098
351750,351750 GUAPIACU,16,249,319,585
351760,351760 GUAPIARA,6,25,4,35
351770,351770 GUARA,5,212,29,246
351780,351780 GUARACAI,29,122,116,267
351790,351790 GUARACI,1,129,37,167
351800,351800 GUARANI D'OESTE,1,21,4,26
351810,351810 GUARANTA,50,283,64,397
351820,351820 GUARARAPES,480,2589,53,3122
351830,351830 GUARAREMA,113,227,72,412
351840,351840 GUARATINGUETA,121,1190,40,1351
351850,351850 GUAREI,0,13,3,16
351860,351860 GUARIBA,16,569,188,773
351870,351870 GUARUJA,499,1294,1059,2852
351880,351880 GUARULHOS,5870,25922,1492,33285
351885,351885 GUATAPARA,4,264,123,391
351890,351890 GUZOLANDIA,8,95,20,123
351900,351900 HERCULANDIA,9,121,36,166
351905,351905 HOLAMBRA,82,355,34,471
351907,351907 HORTOLANDIA,2174,5872,1313,9359
351910,351910 IACANGA,25,120,35,180
351920,351920 IACRI,5,90,17,112
351925,351925 IARAS,39,4,0,43
351930,351930 IBATE,14,643,42,699
351940,351940 IBIRA,6,542,171,719
351950,351950 IBIRAREMA,4,267,151,422
351960,351960 IBITINGA,25,787,2156,2968
351970,351970 IBIUNA,14,155,92,261
351980,351980 ICEM,6,244,58,308
351990,351990 IEPE,4,111,43,158
352000,352000 IGARACU DO TIETE,15,25,8,48
352010,352010 IGARAPAVA,18,11,128,157
352020,352020 IGARATA,5,135,15,155
352030,352030 IGUAPE,8,578,6,592
352040,352040 ILHABELA,3828,962,165,4955
352042,352042 ILHA COMPRIDA,23,220,21,264
352044,352044 ILHA SOLTEIRA,334,637,247,1218
352050,352050 INDAIATUBA,319,2306,582,3207
352060,352060 INDIANA,0,45,38,83
352070,352070 INDIAPORA,7,27,56,90
352080,352080 INUBIA PAULISTA,0,175,1,176
352090,352090 IPAUSSU,2,312,1,315
352100,352100 IPERO,403,2562,37,3002
352110,352110 IPEUNA,10,210,8,229
352115,352115 IPIGUA,3,147,111,261
352120,352120 IPORANGA,0,1,1,2
352130,352130 IPUA,17,48,124,189
352140,352140 IRACEMAPOLIS,32,632,14,678
352150,352150 IRAPUA,2,184,10,196
352160,352160 IRAPURU,46,93,12,151
352170,352170 ITABERA,0,29,2,31
352180,352180 ITAI,0,61,0,61
352190,352190 ITAJOBI,8,119,52,179
352200,352200 ITAJU,7,6,5,18
352210,352210 ITANHAEM,171,4669,34,4874
352215,352215 ITAOCA,0,4,0,4
352220,352220 ITAPECERICA DA SERRA,165,1810,196,2171
352230,352230 ITAPETININGA,15,509,33,557
352240,352240 ITAPEVA,6,209,14,229
352250,352250 ITAPEVI,624,2551,135,3310
352260,352260 ITAPIRA,699,4630,75,5404
352265,352265 ITAPIRAPUA PAULISTA,0,2,1,3
352270,352270 ITAPOLIS,183,816,1071,2070
352280,352280 ITAPORANGA,106,35,1,142
352290,352290 ITAPUI,135,142,3,280
352300,352300 ITAPURA,26,105,20,151
352310,352310 ITAQUAQUECETUBA,213,1323,153,1689
352320,352320 ITARARE,28,33,4,65
352330,352330 ITARIRI,6,628,15,649
352340,352340 ITATIBA,93,250,138,481
352350,352350 ITATINGA,1,13,4,18
352360,352360 ITIRAPINA,33,712,15,760
352370,352370 ITIRAPUA,0,67,254,321
352380,352380 ITOBI,273,107,4,384
352390,352390 ITU,179,1816,3302,5297
352400,352400 ITUPEVA,59,284,25,368
352410,352410 ITUVERAVA,14,138,1298,1450
352420,352420 JABORANDI,2,73,145,220
352430,352430 JABOTICABAL,68,338,1136,1542
352440,352440 JACAREI,240,3962,243,4445
352450,352450 JACI,33,271,156,460
352460,352460 JACUPIRANGA,4,149,4,157
352470,352470 JAGUARIUNA,140,1553,96,1790
352480,352480 JALES,485,3373,1799,5657
352490,352490 JAMBEIRO,3,33,9,45
352500,352500 JANDIRA,555,2903,162,3620
352510,352510 JARDINOPOLIS,1260,406,2898,4564
352520,352520 JARINU,14,95,14,123
352530,352530 JAU,4446,256,67,4773
352540,352540 JERIQUARA,3,0,3,6
352550,352550 JOANOPOLIS,3,16,6,25
352560,352560 JOAO RAMALHO,5,44,5,54
352570,352570 JOSE BONIFACIO,213,600,457,1270
352580,352580 JULIO MESQUITA,1,301,13,315
352585,352585 JUMIRIM,1,21,4,26
352590,352590 JUNDIAI,519,4625,469,5613
352600,352600 JUNQUEIROPOLIS,135,580,16,731
352610,352610 JUQUIA,16,132,178,326
352620,352620 JUQUITIBA,8,74,33,115
352630,352630 LAGOINHA,12,2,2,16
352640,352640 LARANJAL PAULISTA,46,163,16,225
352650,352650 LAVINIA,18,169,49,236
352660,352660 LAVRINHAS,20,13,23,56
352670,352670 LEME,30,224,48,302
352680,352680 LENCOIS PAULISTA,27,473,40,540
352690,352690 LIMEIRA,708,19858,113,20679
352700,352700 LINDOIA,2,123,18,143
352710,352710 LINS,219,1755,71,2045
352720,352720 LORENA,121,2381,79,2581
352725,352725 LOURDES,39,66,17,122
352730,352730 LOUVEIRA,83,371,48,502
352740,352740 LUCELIA,27,442,39,508
352750,352750 LUCIANOPOLIS,0,17,7,24
352760,352760 LUIS ANTONIO,28,436,140,604
352770,352770 LUIZIANIA,16,57,17,90
352780,352780 LUPERCIO,3,51,0,54
352790,352790 LUTECIA,0,88,22,110
352800,352800 MACATUBA,21,114,3,138
352810,352810 MACAUBAL,16,47,39,102
352820,352820 MACEDONIA,9,34,36,79
352830,352830 MAGDA,11,38,9,58
352840,352840 MAIRINQUE,41,496,16,553
352850,352850 MAIRIPORA,4823,193,25,5043
352860,352860 MANDURI,0,13,9,22
352870,352870 MARABA PAULISTA,5,22,10,37
352880,352880 MARACAI,36,607,2,645
352885,352885 MARAPOAMA,0,117,2,119
352890,352890 MARIAPOLIS,38,160,2,200
352900,352900 MARILIA,1771,18699,469,20939
352910,352910 MARINOPOLIS,6,43,22,71
352920,352920 MARTINOPOLIS,25,131,345,501
352930,352930 MATAO,218,777,2205,3200
352940,352940 MAUA,96,814,412,1322
352950,352950 MENDONCA,20,387,109,516
352960,352960 MERIDIANO,22,108,18,148
352965,352965 MESOPOLIS,6,70,6,82
352970,352970 MIGUELOPOLIS,10,41,204,256
352980,352980 MINEIROS DO TIETE,156,29,6,191
352990,352990 MIRACATU,15,571,25,611
353000,353000 MIRA ESTRELA,18,57,9,84
353010,353010 MIRANDOPOLIS,135,799,747,1681
353020,353020 MIRANTE DO PARANAPANEMA,56,158,844,1058
353030,353030 MIRASSOL,34,458,143,635
353040,353040 MIRASSOLANDIA,0,139,44,183
353050,353050 MOCOCA,459,3392,268,4119
353060,353060 MOGI DAS CRUZES,118,885,262,1265
353070,353070 MOGI GUACU,1179,9191,150,10520
353080,353080 MOGI MIRIM,1111,2088,185,3384
353090,353090 MOMBUCA,1,28,3,32
353100,353100 MONCOES,9,61,65,135
353110,353110 MONGAGUA,287,894,40,1221
353120,353120 MONTE ALEGRE DO SUL,10,128,17,155
353130,353130 MONTE ALTO,25,328,76,429
353140,353140 MONTE APRAZIVEL,118,604,202,924
353150,353150 MONTE AZUL PAULISTA,29,423,596,1048
353160,353160 MONTE CASTELO,7,41,11,59
353170,353170 MONTEIRO LOBATO,5,19,3,27
353180,353180 MONTE MOR,354,1071,49,1474
353190,353190 MORRO AGUDO,21,78,120,219
353200,353200 MORUNGABA,9,39,11,59
353205,353205 MOTUCA,43,21,18,82
353210,353210 MURUTINGA DO SUL,5,104,74,183
353215,353215 NANTES,0,13,11,24
353220,353220 NARANDIBA,18,19,30,67
353230,353230 NATIVIDADE DA SERRA,28,7,6,41
353240,353240 NAZARE PAULISTA,26,78,41,145
353250,353250 NEVES PAULISTA,12,797,81,890
353260,353260 NHANDEARA,84,77,26,187
353270,353270 NIPOA,6,167,17,190
353280,353280 NOVA ALIANCA,7,178,145,330
353282,353282 NOVA CAMPINA,1,4,0,5
353284,353284 NOVA CANAA PAULISTA,5,305,13,323
353286,353286 NOVA CASTILHO,1,0,32,33
353290,353290 NOVA EUROPA,26,58,33,117
353300,353300 NOVA GRANADA,1,190,117,308
353310,353310 NOVA GUATAPORANGA,1,79,2,82
353320,353320 NOVA INDEPENDENCIA,10,58,40,108
353325,353325 NOVAIS,7,189,8,204
353330,353330 NOVA LUZITANIA,13,21,5,39
353340,353340 NOVA ODESSA,628,2866,146,3641
353350,353350 NOVO HORIZONTE,21,355,59,435
353360,353360 NUPORANGA,3,181,247,431
353370,353370 OCAUCU,6,44,8,58
353380,353380 OLEO,1,2,1,4
353390,353390 OLIMPIA,135,543,212,890
353400,353400 ONDA VERDE,2,754,28,784
353410,353410 ORIENTE,11,219,14,244
353420,353420 ORINDIUVA,1,107,6,114
353430,353430 ORLANDIA,37,505,796,1338
353440,353440 OSASCO,6588,2464,771,9824
353450,353450 OSCAR BRESSANE,19,43,5,67
353460,353460 OSVALDO CRUZ,17,835,208,1060
353470,353470 OURINHOS,216,6261,91,6568
353475,353475 OUROESTE,36,250,96,382
353480,353480 OURO VERDE,34,167,12,213
353490,353490 PACAEMBU,18,175,51,244
353500,353500 PALESTINA,11,334,69,414
353510,353510 PALMARES PAULISTA,4,465,16,485
353520,353520 PALMEIRA D'OESTE,58,75,47,180
353530,353530 PALMITAL,78,569,22,669
353540,353540 PANORAMA,32,200,63,295
353550,353550 PARAGUACU PAULISTA,161,4700,78,4939
353560,353560 PARAIBUNA,6,170,18,194
353570,353570 PARAISO,8,87,10,105
353580,353580 PARANAPANEMA,1,102,5,108
353590,353590 PARANAPUA,40,360,48,448
353600,353600 PARAPUA,33,446,18,497
353610,353610 PARDINHO,0,14,0,14
353620,353620 PARIQUERA-ACU,19,139,23,181
353625,353625 PARISI,148,42,28,218
353630,353630 PATROCINIO PAULISTA,20,137,178,335
353640,353640 PAULICEIA,64,204,17,285
353650,353650 PAULINIA,1019,3715,170,4904
353657,353657 PAULISTANIA,0,19,0,19
353660,353660 PAULO DE FARIA,4,142,63,209
353670,353670 PEDERNEIRAS,74,707,141,922
353680,353680 PEDRA BELA,5,9,8,22
353690,353690 PEDRANOPOLIS,30,39,14,83
353700,353700 PEDREGULHO,13,62,18,93
353710,353710 PEDREIRA,1368,394,38,1800
353715,353715 PEDRINHAS PAULISTA,11,74,0,85
353720,353720 PEDRO DE TOLEDO,3,202,5,210
353730,353730 PENAPOLIS,283,3052,162,3497
353740,353740 PEREIRA BARRETO,39,364,205,608
353750,353750 PEREIRAS,5,25,3,33
353760,353760 PERUIBE,316,2280,131,2727
353770,353770 PIACATU,50,25,22,97
353780,353780 PIEDADE,5,195,12,213
353790,353790 PILAR DO SUL,2,41,4,47
353800,353800 PINDAMONHANGABA,2888,952,416,4256
353810,353810 PINDORAMA,13,582,6,601
353820,353820 PINHALZINHO,7,28,11,46
353830,353830 PIQUEROBI,3,9,42,54
353850,353850 PIQUETE,5,138,11,154
353860,353860 PIRACAIA,18,693,5,716
353870,353870 PIRACICABA,931,3728,2331,6991
353880,353880 PIRAJU,4,68,8,80
353890,353890 PIRAJUI,16,1524,78,1618
353900,353900 PIRANGI,39,956,82,1077
353910,353910 PIRAPORA DO BOM JESUS,77,301,29,407
353920,353920 PIRAPOZINHO,26,1573,142,1741
353930,353930 PIRASSUNUNGA,103,4330,104,4537
353940,353940 PIRATININGA,0,427,32,459
353950,353950 PITANGUEIRAS,47,283,468,798
353960,353960 PLANALTO,35,321,63,419
353970,353970 PLATINA,9,37,3,49
353980,353980 POA,26,399,201,626
353990,353990 POLONI,3,71,46,120
354000,354000 POMPEIA,105,898,9,1012
354010,354010 PONGAI,0,29,1,30
354020,354020 PONTAL,121,251,1018,1390
354025,354025 PONTALINDA,8,127,26,161
354030,354030 PONTES GESTAL,46,120,44,210
354040,354040 POPULINA,2,119,80,201
354050,354050 PORANGABA,17,29,1,47
354060,354060 PORTO FELIZ,130,765,64,959
354070,354070 PORTO FERREIRA,798,4545,244,5587
354075,354075 POTIM,131,1030,27,1188
354080,354080 POTIRENDABA,40,175,193,408
354085,354085 PRACINHA,0,30,1,31
354090,354090 PRADOPOLIS,12,77,97,186
354100,354100 PRAIA GRANDE,374,3440,721,4535
354105,354105 PRATANIA,2,14,1,17
354110,354110 PRESIDENTE ALVES,4,23,4,31
354120,354120 PRESIDENTE BERNARDES,13,114,57,184
354130,354130 PRESIDENTE EPITACIO,64,279,773,1116
354140,354140 PRESIDENTE PRUDENTE,236,3475,13121,16832
354150,354150 PRESIDENTE VENCESLAU,21,587,196,804
354160,354160 PROMISSAO,496,422,26,944
354165,354165 QUADRA,0,3,1,4
354170,354170 QUATA,11,338,87,436
354180,354180 QUEIROZ,7,58,0,65
354190,354190 QUELUZ,10,362,59,431
354200,354200 QUINTANA,5,175,9,189
354210,354210 RAFARD,11,207,140,358
354220,354220 RANCHARIA,79,425,360,864
354230,354230 REDENCAO DA SERRA,40,13,5,58
354240,354240 REGENTE FEIJO,9,119,331,459
354250,354250 REGINOPOLIS,1,20,4,25
354260,354260 REGISTRO,22,344,235,601
354270,354270 RESTINGA,5,91,14,110
354280,354280 RIBEIRA,0,4,0,4
354290,354290 RIBEIRAO BONITO,229,451,56,736
354300,354300 RIBEIRAO BRANCO,0,7,3,10
354310,354310 RIBEIRAO CORRENTE,50,18,19,89
354320,354320 RIBEIRAO DO SUL,4,123,3,130
354323,354323 RIBEIRAO DOS INDIOS,1,50,7,58
354325,354325 RIBEIRAO GRANDE,4,13,1,18
354330,354330 RIBEIRAO PIRES,16,87,60,163
354340,354340 RIBEIRAO PRETO,436,5407,35662,41506
354350,354350 RIVERSUL,2,3,2,7
354360,354360 RIFAINA,48,135,25,208
354370,354370 RINCAO,3,157,6,166
354380,354380 RINOPOLIS,11,367,19,397
354390,354390 RIO CLARO,662,21660,106,22428
354400,354400 RIO DAS PEDRAS,15,436,104,555
354410,354410 RIO GRANDE DA SERRA,15,57,14,86
354420,354420 RIOLANDIA,38,190,21,249
354425,354425 ROSANA,757,580,40,1377
354430,354430 ROSEIRA,29,294,12,335
354440,354440 RUBIACEA,7,137,5,149
354450,354450 RUBINEIA,137,60,14,211
354460,354460 SABINO,1,125,2,128
354470,354470 SAGRES,3,49,6,58
354480,354480 SALES,20,395,14,429
354490,354490 SALES OLIVEIRA,90,28,204,322
354500,354500 SALESOPOLIS,5,22,7,34
354510,354510 SALMOURAO,20,95,2,117
354515,354515 SALTINHO,11,94,57,162
354520,354520 SALTO,155,1504,279,1938
354530,354530 SALTO DE PIRAPORA,10,1983,52,2045
354540,354540 SALTO GRANDE,8,102,12,122
354550,354550 SANDOVALINA,14,25,71,110
354560,354560 SANTA ADELIA,10,365,12,387
354570,354570 SANTA ALBERTINA,7,276,8,291
354580,354580 SANTA BARBARA D'OESTE,3341,4764,478,8584
354600,354600 SANTA BRANCA,31,232,103,366
354610,354610 SANTA CLARA D'OESTE,5,77,47,129
354620,354620 SANTA CRUZ DA CONCEICAO,22,31,5,58
354625,354625 SANTA CRUZ DA ESPERANCA,0,20,10,30
354630,354630 SANTA CRUZ DAS PALMEIRAS,46,912,40,998
354640,354640 SANTA CRUZ DO RIO PARDO,59,758,56,873
354650,354650 SANTA ERNESTINA,2,196,59,257
354660,354660 SANTA FE DO SUL,87,538,804,1430
354670,354670 SANTA GERTRUDES,60,500,6,566
354680,354680 SANTA ISABEL,56,397,127,580
354690,354690 SANTA LUCIA,23,122,39,184
354700,354700 SANTA MARIA DA SERRA,46,19,6,71
354710,354710 SANTA MERCEDES,2,122,13,137
354720,354720 SANTANA DA PONTE PENSA,5,54,3,62
354730,354730 SANTANA DE PARNAIBA,430,1732,353,2515
354740,354740 SANTA RITA D'OESTE,3,181,13,197
354750,354750 SANTA RITA DO PASSA QUATRO,67,829,100,996
354760,354760 SANTA ROSA DE VITERBO,48,336,278,662
354765,354765 SANTA SALETE,4,45,12,61
354770,354770 SANTO ANASTACIO,28,199,917,1144
354780,354780 SANTO ANDRE,478,1674,511,2663
354790,354790 SANTO ANTONIO DA ALEGRIA,1,20,88,109
354800,354800 SANTO ANTONIO DE POSSE,390,3198,170,3758
354805,354805 SANTO ANTONIO DO ARACANGUA,113,78,32,223
354810,354810 SANTO ANTONIO DO JARDIM,3,73,8,84
354820,354820 SANTO ANTONIO DO PINHAL,1,12,4,17
354830,354830 SANTO EXPEDITO,0,8,10,18
354840,354840 SANTOPOLIS DO AGUAPEI,16,53,33,102
354850,354850 SANTOS,3644,5183,1990,10818
354860,354860 SAO BENTO DO SAPUCAI,3,14,2,19
354870,354870 SAO BERNARDO DO CAMPO,636,3340,1297,5273
354880,354880 SAO CAETANO DO SUL,82,731,150,963
354890,354890 SAO CARLOS,357,8547,431,9335
354900,354900 SAO FRANCISCO,27,51,12,90
354910,354910 SAO JOAO DA BOA VISTA,596,5725,78,6399
354920,354920 SAO JOAO DAS DUAS PONTES,1,151,15,167
354925,354925 SAO JOAO DE IRACEMA,7,8,6,21
354930,354930 SAO JOAO DO PAU D'ALHO,22,33,37,92
354940,354940 SAO JOAQUIM DA BARRA,122,868,708,1698
354950,354950 SAO JOSE DA BELA VISTA,0,53,304,357
354960,354960 SAO JOSE DO BARREIRO,16,91,0,107
354970,354970 SAO JOSE DO RIO PARDO,52,1102,114,1268
354980,354980 SAO JOSE DO RIO PRETO,1210,22164,16382,39756
354990,354990 SAO JOSE DOS CAMPOS,911,14573,1744,17228
354995,354995 SAO LOURENCO DA SERRA,14,61,18,93
355000,355000 SAO LUIS DO PARAITINGA,25,25,15,65
355010,355010 SAO MANUEL,5,375,71,451
355020,355020 SAO MIGUEL ARCANJO,3,65,16,84
355030,355030 SAO PAULO,34128,56095,18704,108931
355040,355040 SAO PEDRO,1112,386,12,1510
355050,355050 SAO PEDRO DO TURVO,11,327,82,420
355060,355060 SAO ROQUE,91,635,83,809
355070,355070 SAO SEBASTIAO,1711,4912,59,6682
355080,355080 SAO SEBASTIAO DA GRAMA,7,39,3,49
355090,355090 SAO SIMAO,3,303,822,1128
355100,355100 SAO VICENTE,613,2520,838,3971
355110,355110 SARAPUI,3,78,5,86
355120,355120 SARUTAIA,0,2,0,2
355130,355130 SEBASTIANOPOLIS DO SUL,12,21,4,37
355140,355140 SERRA AZUL,7,235,121,363
355150,355150 SERRANA,53,447,684,1184
355160,355160 SERRA NEGRA,40,256,33,329
355170,355170 SERTAOZINHO,236,1023,3146,4406
355180,355180 SETE BARRAS,8,55,6,69
355190,355190 SEVERINIA,30,190,65,285
