municipio,2013,2014,2015,2016,Total,cod
351090 CASSIA DOS COQUEIROS,0,1,4,26,31,351090
351100 CASTILHO,0,46,604,560,1210,351100
351110 CATANDUVA,0,519,10811,133,11463,351110
351120 CATIGUA,0,8,251,9,268,351120
351130 CEDRAL,0,8,493,159,660,351130
351140 CERQUEIRA CESAR,0,4,22,0,26,351140
351150 CERQUILHO,0,1,240,14,255,351150
351160 CESARIO LANGE,0,7,64,19,90,351160
351170 CHARQUEADA,0,27,110,11,148,351170
351190 CLEMENTINA,0,61,45,16,122,351190
351200 COLINA,0,71,587,34,692,351200
351210 COLOMBIA,0,10,202,41,253,351210
351220 CONCHAL,0,6,2291,38,2335,351220
351230 CONCHAS,0,12,821,3,836,351230
351240 CORDEIROPOLIS,0,49,660,8,717,351240
351250 COROADOS,0,100,163,197,460,351250
351260 CORONEL MACEDO,0,0,5,0,5,351260
351270 CORUMBATAI,0,12,122,3,137,351270
351280 COSMOPOLIS,0,202,883,110,1195,351280
351290 COSMORAMA,0,22,108,25,155,351290
351300 COTIA,0,381,2191,228,2800,351300
351310 CRAVINHOS,0,106,144,220,470,351310
351320 CRISTAIS PAULISTA,0,3,2,22,27,351320
351330 CRUZALIA,0,3,129,3,135,351330
351340 CRUZEIRO,0,66,236,126,428,351340
351350 CUBATAO,0,497,809,284,1590,351350
351360 CUNHA,0,0,14,6,20,351360
351370 DESCALVADO,0,103,1272,94,1469,351370
351380 DIADEMA,0,841,3996,551,5388,351380
351385 DIRCE REIS,0,5,41,60,106,351385
351390 DIVINOLANDIA,0,3,7,3,13,351390
351400 DOBRADA,0,11,68,102,181,351400
351410 DOIS CORREGOS,0,82,408,7,497,351410
351420 DOLCINOPOLIS,0,3,178,128,309,351420
351430 DOURADO,0,27,28,4,59,351430
351440 DRACENA,0,98,1141,77,1316,351440
351450 DUARTINA,0,15,77,5,97,351450
351460 DUMONT,0,41,246,380,667,351460
351470 ECHAPORA,0,5,64,2,71,351470
351480 ELDORADO,0,5,5,11,21,351480
351490 ELIAS FAUSTO,0,47,1008,9,1064,351490
351492 ELISIARIO,0,8,201,15,224,351492
351495 EMBAUBA,0,1,106,9,116,351495
351500 EMBU DAS ARTES,0,573,1902,419,2894,351500
351510 EMBU-GUACU,0,30,110,51,191,351510
351512 EMILIANOPOLIS,0,1,2,13,16,351512
351515 ENGENHEIRO COELHO,0,17,540,25,582,351515
351518 ESPIRITO SANTO DO PINHAL,0,14,1474,93,1581,351518
351519 ESPIRITO SANTO DO TURVO,0,0,28,4,32,351519
351520 ESTRELA D'OESTE,0,205,1478,32,1715,351520
351530 ESTRELA DO NORTE,0,33,23,119,175,351530
351535 EUCLIDES DA CUNHA PAULISTA,0,29,96,175,300,351535
351540 FARTURA,0,1,156,4,161,351540
351550 FERNANDOPOLIS,0,214,1195,819,2228,351550
351560 FERNANDO PRESTES,0,1,34,8,43,351560
351565 FERNAO,0,1,8,1,10,351565
351570 FERRAZ DE VASCONCELOS,0,84,1063,318,1465,351570
351580 FLORA RICA,0,13,14,5,32,351580
351590 FLOREAL,0,9,19,11,39,351590
351600 FLORIDA PAULISTA,0,88,742,91,921,351600
351610 FLORINIA,0,61,265,1,327,351610
351620 FRANCA,1,280,1932,3481,5694,351620
351630 FRANCISCO MORATO,0,1532,1390,479,3401,351630
351640 FRANCO DA ROCHA,0,2535,1407,489,4431,351640
351650 GABRIEL MONTEIRO,0,14,13,28,55,351650
351660 GALIA,0,4,289,2,295,351660
351670 GARCA,0,35,1446,19,1500,351670
351680 GASTAO VIDIGAL,0,14,29,12,55,351680
351685 GAVIAO PEIXOTO,0,4,19,12,35,351685
351690 GENERAL SALGADO,0,122,56,182,360,351690
351700 GETULINA,0,15,750,13,778,351700
351710 GLICERIO,0,43,191,35,269,351710
351720 GUAICARA,0,52,413,11,476,351720
351730 GUAIMBE,0,1,612,4,617,351730
351740 GUAIRA,0,54,1344,2700,4098,351740
351750 GUAPIACU,1,16,249,319,585,351750
351760 GUAPIARA,0,6,25,4,35,351760
351770 GUARA,0,5,212,29,246,351770
351780 GUARACAI,0,29,122,116,267,351780
351790 GUARACI,0,1,129,37,167,351790
351800 GUARANI D'OESTE,0,1,21,4,26,351800
351810 GUARANTA,0,50,283,64,397,351810
351820 GUARARAPES,0,480,2589,53,3122,351820
351830 GUARAREMA,0,113,227,72,412,351830
351840 GUARATINGUETA,0,121,1190,40,1351,351840
351850 GUAREI,0,0,13,3,16,351850
351860 GUARIBA,0,16,569,188,773,351860
351870 GUARUJA,0,499,1294,1059,2852,351870
351880 GUARULHOS,1,5870,25922,1492,33285,351880
351885 GUATAPARA,0,4,264,123,391,351885
351890 GUZOLANDIA,0,8,95,20,123,351890
351900 HERCULANDIA,0,9,121,36,166,351900
351905 HOLAMBRA,0,82,355,34,471,351905
351907 HORTOLANDIA,0,2174,5872,1313,9359,351907
351910 IACANGA,0,25,120,35,180,351910
351920 IACRI,0,5,90,17,112,351920
351925 IARAS,0,39,4,0,43,351925
351930 IBATE,0,14,643,42,699,351930
351940 IBIRA,0,6,542,171,719,351940
351950 IBIRAREMA,0,4,267,151,422,351950
351960 IBITINGA,0,25,787,2156,2968,351960
351970 IBIUNA,0,14,155,92,261,351970
351980 ICEM,0,6,244,58,308,351980
351990 IEPE,0,4,111,43,158,351990
352000 IGARACU DO TIETE,0,15,25,8,48,352000
352010 IGARAPAVA,0,18,11,128,157,352010
352020 IGARATA,0,5,135,15,155,352020
352030 IGUAPE,0,8,578,6,592,352030
352040 ILHABELA,0,3828,962,165,4955,352040
352042 ILHA COMPRIDA,0,23,220,21,264,352042
352044 ILHA SOLTEIRA,0,334,637,247,1218,352044
352050 INDAIATUBA,0,319,2306,582,3207,352050
352060 INDIANA,0,0,45,38,83,352060
352070 INDIAPORA,0,7,27,56,90,352070
352080 INUBIA PAULISTA,0,0,175,1,176,352080
352090 IPAUSSU,0,2,312,1,315,352090
352100 IPERO,0,403,2562,37,3002,352100
352110 IPEUNA,1,10,210,8,229,352110
352115 IPIGUA,0,3,147,111,261,352115
352120 IPORANGA,0,0,1,1,2,352120
352130 IPUA,0,17,48,124,189,352130
352140 IRACEMAPOLIS,0,32,632,14,678,352140
352150 IRAPUA,0,2,184,10,196,352150
352160 IRAPURU,0,46,93,12,151,352160
352170 ITABERA,0,0,29,2,31,352170
352180 ITAI,0,0,61,0,61,352180
352190 ITAJOBI,0,8,119,52,179,352190
352200 ITAJU,0,7,6,5,18,352200
352210 ITANHAEM,0,171,4669,34,4874,352210
352215 ITAOCA,0,0,4,0,4,352215
352220 ITAPECERICA DA SERRA,0,165,1810,196,2171,352220
352230 ITAPETININGA,0,15,509,33,557,352230
352240 ITAPEVA,0,6,209,14,229,352240
352250 ITAPEVI,0,624,2551,135,3310,352250
352260 ITAPIRA,0,699,4630,75,5404,352260
352265 ITAPIRAPUA PAULISTA,0,0,2,1,3,352265
352270 ITAPOLIS,0,183,816,1071,2070,352270
352280 ITAPORANGA,0,106,35,1,142,352280
352290 ITAPUI,0,135,142,3,280,352290
352300 ITAPURA,0,26,105,20,151,352300
352310 ITAQUAQUECETUBA,0,213,1323,153,1689,352310
352320 ITARARE,0,28,33,4,65,352320
352330 ITARIRI,0,6,628,15,649,352330
352340 ITATIBA,0,93,250,138,481,352340
352350 ITATINGA,0,1,13,4,18,352350
352360 ITIRAPINA,0,33,712,15,760,352360
352370 ITIRAPUA,0,0,67,254,321,352370
352380 ITOBI,0,273,107,4,384,352380
352390 ITU,0,179,1816,3302,5297,352390
352400 ITUPEVA,0,59,284,25,368,352400
352410 ITUVERAVA,0,14,138,1298,1450,352410
352420 JABORANDI,0,2,73,145,220,352420
352430 JABOTICABAL,0,68,338,1136,1542,352430
352440 JACAREI,0,240,3962,243,4445,352440
352450 JACI,0,33,271,156,460,352450
352460 JACUPIRANGA,0,4,149,4,157,352460
352470 JAGUARIUNA,1,140,1553,96,1790,352470
352480 JALES,0,485,3373,1799,5657,352480
352490 JAMBEIRO,0,3,33,9,45,352490
352500 JANDIRA,0,555,2903,162,3620,352500
352510 JARDINOPOLIS,0,1260,406,2898,4564,352510
352520 JARINU,0,14,95,14,123,352520
352530 JAU,4,4446,256,67,4773,352530
352540 JERIQUARA,0,3,0,3,6,352540
352550 JOANOPOLIS,0,3,16,6,25,352550
352560 JOAO RAMALHO,0,5,44,5,54,352560
352570 JOSE BONIFACIO,0,213,600,457,1270,352570
352580 JULIO MESQUITA,0,1,301,13,315,352580
352585 JUMIRIM,0,1,21,4,26,352585
352590 JUNDIAI,0,519,4625,469,5613,352590
352600 JUNQUEIROPOLIS,0,135,580,16,731,352600
352610 JUQUIA,0,16,132,178,326,352610
352620 JUQUITIBA,0,8,74,33,115,352620
352630 LAGOINHA,0,12,2,2,16,352630
352640 LARANJAL PAULISTA,0,46,163,16,225,352640
352650 LAVINIA,0,18,169,49,236,352650
352660 LAVRINHAS,0,20,13,23,56,352660
352670 LEME,0,30,224,48,302,352670
352680 LENCOIS PAULISTA,0,27,473,40,540,352680
352690 LIMEIRA,0,708,19858,113,20679,352690
352700 LINDOIA,0,2,123,18,143,352700
352710 LINS,0,219,1755,71,2045,352710
352720 LORENA,0,121,2381,79,2581,352720
352725 LOURDES,0,39,66,17,122,352725
352730 LOUVEIRA,0,83,371,48,502,352730
352740 LUCELIA,0,27,442,39,508,352740
352750 LUCIANOPOLIS,0,0,17,7,24,352750
352760 LUIS ANTONIO,0,28,436,140,604,352760
352770 LUIZIANIA,0,16,57,17,90,352770
352780 LUPERCIO,0,3,51,0,54,352780
352790 LUTECIA,0,0,88,22,110,352790
352800 MACATUBA,0,21,114,3,138,352800
352810 MACAUBAL,0,16,47,39,102,352810
352820 MACEDONIA,0,9,34,36,79,352820
352830 MAGDA,0,11,38,9,58,352830
352840 MAIRINQUE,0,41,496,16,553,352840
352850 MAIRIPORA,2,4823,193,25,5043,352850
352860 MANDURI,0,0,13,9,22,352860
352870 MARABA PAULISTA,0,5,22,10,37,352870
352880 MARACAI,0,36,607,2,645,352880
352885 MARAPOAMA,0,0,117,2,119,352885
352890 MARIAPOLIS,0,38,160,2,200,352890
352900 MARILIA,0,1771,18699,469,20939,352900
352910 MARINOPOLIS,0,6,43,22,71,352910
352920 MARTINOPOLIS,0,25,131,345,501,352920
352930 MATAO,0,218,777,2205,3200,352930
352940 MAUA,0,96,814,412,1322,352940
352950 MENDONCA,0,20,387,109,516,352950
352960 MERIDIANO,0,22,108,18,148,352960
352965 MESOPOLIS,0,6,70,6,82,352965
352970 MIGUELOPOLIS,1,10,41,204,256,352970
352980 MINEIROS DO TIETE,0,156,29,6,191,352980
352990 MIRACATU,0,15,571,25,611,352990
353000 MIRA ESTRELA,0,18,57,9,84,353000
353010 MIRANDOPOLIS,0,135,799,747,1681,353010
353020 MIRANTE DO PARANAPANEMA,0,56,158,844,1058,353020
353030 MIRASSOL,0,34,458,143,635,353030
353040 MIRASSOLANDIA,0,0,139,44,183,353040
