municipio,2013,2014,2015,2016,Total,cod
354820 SANTO ANTONIO DO PINHAL,0,1,12,4,17,354820
354830 SANTO EXPEDITO,0,0,8,10,18,354830
354840 SANTOPOLIS DO AGUAPEI,0,16,53,33,102,354840
354850 SANTOS,1,3644,5183,1990,10818,354850
354860 SAO BENTO DO SAPUCAI,0,3,14,2,19,354860
354870 SAO BERNARDO DO CAMPO,0,636,3340,1297,5273,354870
354880 SAO CAETANO DO SUL,0,82,731,150,963,354880
354890 SAO CARLOS,0,357,8547,431,9335,354890
354900 SAO FRANCISCO,0,27,51,12,90,354900
354910 SAO JOAO DA BOA VISTA,0,596,5725,78,6399,354910
354920 SAO JOAO DAS DUAS PONTES,0,1,151,15,167,354920
354925 SAO JOAO DE IRACEMA,0,7,8,6,21,354925
354930 SAO JOAO DO PAU D'ALHO,0,22,33,37,92,354930
354940 SAO JOAQUIM DA BARRA,0,122,868,708,1698,354940
354950 SAO JOSE DA BELA VISTA,0,0,53,304,357,354950
354960 SAO JOSE DO BARREIRO,0,16,91,0,107,354960
354970 SAO JOSE DO RIO PARDO,0,52,1102,114,1268,354970
354980 SAO JOSE DO RIO PRETO,0,1210,22164,16382,39756,354980
354990 SAO JOSE DOS CAMPOS,0,911,14573,1744,17228,354990
354995 SAO LOURENCO DA SERRA,0,14,61,18,93,354995
355000 SAO LUIS DO PARAITINGA,0,25,25,15,65,355000
355010 SAO MANUEL,0,5,375,71,451,355010
355020 SAO MIGUEL ARCANJO,0,3,65,16,84,355020
355030 SAO PAULO,4,34128,56095,18704,108931,355030
355040 SAO PEDRO,0,1112,386,12,1510,355040
355050 SAO PEDRO DO TURVO,0,11,327,82,420,355050
355060 SAO ROQUE,0,91,635,83,809,355060
355070 SAO SEBASTIAO,0,1711,4912,59,6682,355070
355080 SAO SEBASTIAO DA GRAMA,0,7,39,3,49,355080
355090 SAO SIMAO,0,3,303,822,1128,355090
355100 SAO VICENTE,0,613,2520,838,3971,355100
355110 SARAPUI,0,3,78,5,86,355110
355120 SARUTAIA,0,0,2,0,2,355120
355130 SEBASTIANOPOLIS DO SUL,0,12,21,4,37,355130
355140 SERRA AZUL,0,7,235,121,363,355140
355150 SERRANA,0,53,447,684,1184,355150
355160 SERRA NEGRA,0,40,256,33,329,355160
355170 SERTAOZINHO,1,236,1023,3146,4406,355170
355180 SETE BARRAS,0,8,55,6,69,355180
355190 SEVERINIA,0,30,190,65,285,355190
355200 SILVEIRAS,0,1,18,1,20,355200
355210 SOCORRO,0,11,546,28,585,355210
355220 SOROCABA,0,426,56802,366,57594,355220
355230 SUD MENNUCCI,0,17,431,35,483,355230
355240 SUMARE,8,4738,14546,477,19769,355240
355250 SUZANO,0,45,636,478,1159,355250
355255 SUZANAPOLIS,0,69,199,24,292,355255
355260 TABAPUA,0,14,722,12,748,355260
355270 TABATINGA,0,7,326,290,623,355270
355280 TABOAO DA SERRA,0,1216,3362,408,4986,355280
355290 TACIBA,0,2,18,21,41,355290
355300 TAGUAI,0,0,32,6,38,355300
355310 TAIACU,0,3,114,31,148,355310
355320 TAIUVA,0,2,103,201,306,355320
355330 TAMBAU,0,286,1767,48,2101,355330
355340 TANABI,0,226,1802,88,2116,355340
355350 TAPIRAI,0,2,10,1,13,355350
355360 TAPIRATIBA,0,6,336,1,343,355360
355365 TAQUARAL,0,1,38,5,44,355365
355370 TAQUARITINGA,0,112,526,1605,2243,355370
355380 TAQUARITUBA,0,3,65,1,69,355380
355385 TAQUARIVAI,0,1,10,1,12,355385
355390 TARABAI,0,16,69,17,102,355390
355395 TARUMA,0,141,540,17,698,355395
355400 TATUI,0,32,579,129,740,355400
355410 TAUBATE,0,9913,2467,3323,15703,355410
355420 TEJUPA,0,3,2,0,5,355420
355430 TEODORO SAMPAIO,0,22,110,194,326,355430
355440 TERRA ROXA,0,8,121,10,139,355440
355450 TIETE,0,22,365,94,481,355450
355460 TIMBURI,0,0,3,2,5,355460
355465 TORRE DE PEDRA,0,0,6,0,6,355465
355470 TORRINHA,0,24,38,5,67,355470
355475 TRABIJU,0,57,134,2,193,355475
355480 TREMEMBE,0,995,416,698,2109,355480
355490 TRES FRONTEIRAS,0,8,202,58,268,355490
355495 TUIUTI,0,4,32,4,40,355495
355500 TUPA,0,826,2411,106,3343,355500
355510 TUPI PAULISTA,0,23,936,15,974,355510
355520 TURIUBA,0,26,84,19,129,355520
355530 TURMALINA,0,11,49,23,83,355530
355535 UBARANA,0,92,237,108,437,355535
355540 UBATUBA,5,1273,3131,304,4713,355540
355550 UBIRAJARA,0,5,118,1,124,355550
355560 UCHOA,0,32,404,235,671,355560
355570 UNIAO PAULISTA,0,0,23,20,43,355570
355580 URANIA,0,14,975,117,1106,355580
355590 URU,0,1,30,5,36,355590
355600 URUPES,0,11,196,65,272,355600
355610 VALENTIM GENTIL,0,99,123,50,272,355610
355620 VALINHOS,0,306,1557,159,2022,355620
355630 VALPARAISO,0,41,467,46,554,355630
355635 VARGEM,0,8,22,6,36,355635
355640 VARGEM GRANDE DO SUL,0,52,801,148,1001,355640
355645 VARGEM GRANDE PAULISTA,0,23,209,42,274,355645
355650 VARZEA PAULISTA,0,511,1609,38,2158,355650
355660 VERA CRUZ,0,14,400,12,426,355660
355670 VINHEDO,0,193,963,45,1201,355670
355680 VIRADOURO,0,91,195,91,377,355680
355690 VISTA ALEGRE DO ALTO,0,3,135,21,159,355690
355695 VITORIA BRASIL,0,10,129,52,191,355695
355700 VOTORANTIM,0,39,1828,57,1924,355700
355710 VOTUPORANGA,0,2781,1323,839,4943,355710
355715 ZACARIAS,0,86,179,9,274,355715
355720 CHAVANTES,0,2,127,44,173,355720
355730 ESTIVA GERBI,0,23,547,8,578,355730
