Cod_ibge,Municipio,mort_infantil,IDESP_ensino_medio,n_familias_rua,forest_cover,n_pessoas_pobreza,esgoto_tratado,UAI_housing,UAI_env,UAI_food,UAI_mob,UAI_Crisk,population,population_preta,population_indigena,population_branca,pct_rural,pct_urbana,pol_deficit,mean_species_richness,max_species_richness,Vert_rich_risk,COD,flooding_exposure,flooding_risks,hydric_stress_exp,hydric_stress_risk,municipality,persist_malaria,persist_leptospirose,persist_diarrhea,persist_dengue,persist_chagas,incidence_malaria,incidence_leptospirose,incidence_diarrhea,incidence_dengue,incidence_chagas,copersistence,malaria_leptospirose,malaria_diarrhea,malaria_dengue,malaria_chagas,leptospirose_diarrhea,leptospirose_dengue,leptospirose_chagas,diarrhea_dengue,diarrhea_chagas,dengue_chagas,UAI_promedio,pct_preta,pct_indigena,pct_branca,flooding_exposure_norm,flooding_risks_norm,hydric_stress_exp_norm,hydric_stress_risk_norm,idx_climate_risk,mort_norm,pobreza_pct,pobreza_norm,idesp_norm,esgoto_norm,familias_rua_norm,idx_social_vuln,forest_norm,richness_norm,vert_risk_norm,idx_biodiv_risk,idx_food_security_risk,idx_governance,idx_governance_risk,idx_biodiv_positivo,cuadrante,IVM,IVM_100,categoria_IVM
3502804,Araçatuba,12.5,2.5,384,6.8,63.0,99.6,1.0,0.5,0.75,0.8,0.4,190851.5,10934.5,117.0,117981.5,1.7,98.3,0.98149458275,511.939393939394,640,20.01,350280,0.53,0.0,0.78,0.75,ARACATUBA,2.0,0.0,10.0,9.0,0.0,0.523967587365046,0.0,24.9408571585762,735.592274039706,0.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.69,5.729323584043091,0.06130420772171033,61.818481908709124,0.5287356321839082,0.0,0.7659574468085106,0.974025974025974,0.5671797632545983,0.15625,0.03300995800399787,0.0056102367084632215,0.588235294117647,0.0040000000000000036,0.37263476463688244,0.2253460590925985,0.9437837837837838,0.48568699722887354,0.45831424644983976,0.6292616758208324,0.983566437797266,0.69,0.31000000000000005,0.37073832417916763,Q4_Desarrollo,0.5430707871930591,70.49073954749946,Alta
3511300,Cedral,7.2,2.2,0,10.6,43.8,100.0,0.0,0.13,0.5,0.2,0.0,10295.0,491.5,8.5,7567.0,8.8,91.2,0.943540836296,604.51724137931,652,7.28,351130,0.22,0.0,0.76,0.67,,,,,,,,,,,,,,,,,,,,,,,0.166,4.774162214667315,0.0825643516270034,73.50169985429821,0.1724137931034483,0.0,0.7446808510638298,0.8701298701298702,0.44680612857428703,0.09,0.4254492472073822,0.07348118476100615,0.6470588235294117,0.0,0.0,0.16210800165808356,0.9027027027027027,0.30233114030095487,0.16674301420064133,0.457258952401433,0.9455325740787031,0.166,0.834,0.542741047598567,Q3_Vulnerable,0.5691411313425013,76.85993465984726,Muy Alta
3509304,Cajobi,0.0,2.8,0,11.2,51.6,0.0,0.0,0.5,0.25,0.2,0.2,9450.5,371.0,10.0,6298.0,5.1,94.9,0.912637280497,598.584905660377,658,9.03,350930,0.64,0.0,0.69,0.31,,,,,,,,,,,,,,,,,,,,,,,0.22999999999999998,3.9257182159674087,0.10581450716893287,66.64197661499391,0.6551724137931036,0.0,0.6702127659574467,0.40259740259740256,0.4319956455869882,0.0,0.5460028569916936,0.09433049320773791,0.5294117647058824,1.0,0.0,0.32474845158272403,0.8962162162162162,0.3140804791482964,0.20682546953733394,0.4723740549672822,0.9145637833928417,0.22999999999999998,0.77,0.5276259450327179,Q3_Vulnerable,0.5827363871059672,80.18136517351533,Muy Alta
3531506,Monte Azul Paulista,10.4,1.5,4,9.6,67.7,29.8,0.0,0.5,0.75,0.4,0.6,18541.0,710.5,6.0,13284.5,5.9,94.1,0.928437631435,603.404761904762,661,8.71,353150,0.66,0.0,0.78,0.72,,,,,,,,,,,,,,,,,,,,,,,0.45,3.8320478938568576,0.032360714093090985,71.64931772827788,0.6781609195402301,0.0,0.7659574468085106,0.935064935064935,0.5947958253534189,0.13,0.36513672401704333,0.06305035318785086,0.7843137254901961,0.702,0.039955315125429214,0.34386387876069524,0.9135135135135135,0.30453447115181365,0.19949610627576733,0.47251469698036486,0.930397487583539,0.45,0.55,0.5274853030196351,Q4_Desarrollo,0.5783143777356037,79.10103265826243,Muy Alta
3552601,Tabapuã,10.9,3.2,1,12.9,64.9,94.3,0.0,0.63,0.0,0.2,0.2,11343.0,368.0,3.5,8174.5,7.3,92.7,0.931072941073,617.385321100917,659,6.31,355260,0.48,0.0,0.59,0.39,,,,,,,,,,,,,,,,,,,,,,,0.20600000000000002,3.2442916336066294,0.030856034558758707,72.06647271444943,0.471264367816092,0.0,0.5638297872340426,0.5064935064935066,0.3853969153859103,0.13625,0.5721590408181257,0.0988541100895749,0.4509803921568627,0.05700000000000005,0.01632750369700659,0.15188240118868884,0.8778378378378379,0.27684515364628204,0.1445258818140174,0.4330696244327124,0.9330383601453397,0.20600000000000002,0.794,0.5669303755672876,Q3_Vulnerable,0.5394774602305302,69.61286082078935,Alta
3531001,Monções,0.0,1.2,0,11.9,44.8,99.9,0.0,0.75,0.25,0.2,0.0,2034.5,99.0,0.0,1482.0,9.5,90.5,0.952270324598,605.428571428571,639,5.25,353100,0.52,0.0,0.37,0.57,MONCOES,1.0,0.0,6.0,5.0,0.0,49.1521258294421,0.0,73.7281887441632,2211.8456623249,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.24,4.86606045711477,0.0,72.84345047923323,0.5172413793103449,0.0,0.3297872340425532,0.7402597402597402,0.3968220884031596,0.0,2.202015237159007,0.38073181264967115,0.8431372549019608,0.0009999999999998899,0.0,0.24497381351032638,0.8886486486486487,0.3005261976851217,0.12024736601007788,0.4364740707812827,0.9542804896188318,0.24,0.76,0.5635259292187174,Q3_Vulnerable,0.55851009246272,74.26268621218027,Alta
3501004,Altinópolis,5.6,1.7,9,24.0,66.2,85.7,0.0,0.38,0.5,0.4,0.2,16212.5,899.0,7.5,10423.5,9.5,90.5,0.87479455839,635.329824561403,673,5.6,350100,0.48,0.0,0.36,0.53,,,,,,,,,,,,,,,,,,,,,,,0.296,5.545104086353122,0.04626060138781804,64.29298380878951,0.471264367816092,0.0,0.3191489361702128,0.6883116883116883,0.3696812480744983,0.06999999999999999,0.4083269082498072,0.07051993849973966,0.7450980392156863,0.14300000000000002,0.10281115620146873,0.22628582678337894,0.7578378378378379,0.24130501202353793,0.1282638570774164,0.375802235646264,0.8766411783846239,0.296,0.704,0.624197764353736,Q2_Conservar,0.510482097777753,62.529060171424575,Alta
3556800,Viradouro,9.3,1.4,0,5.7,42.9,96.4,0.33,0.38,0.0,0.8,0.2,17355.5,726.5,8.5,11394.0,2.8,97.2,0.979857805869,561.115942028986,665,15.62,355680,0.67,0.0,0.78,0.6,,,,,,,,,,,,,,,,,,,,,,,0.34199999999999997,4.185992912909453,0.0489758289879289,65.65065829276023,0.6896551724137933,0.0,0.7659574468085106,0.7792207792207791,0.5587083496107708,0.11625,0.24718388983319406,0.04265083942409695,0.803921568627451,0.03599999999999992,0.0,0.19976448161030957,0.9556756756756757,0.38828995932975696,0.3577645442052222,0.5672433930702182,0.9819262058137094,0.34199999999999997,0.658,0.4327566069297818,Q3_Vulnerable,0.5931284860210015,82.72023866276645,Muy Alta
3506102,Bebedouro,10.2,1.8,101,9.8,66.2,36.0,0.67,0.75,0.5,0.6,0.6,75704.0,4375.0,23.0,51453.0,3.5,96.5,0.96376121925,611.084507042254,665,8.11,350610,0.57,0.0,0.78,0.6,,,,,,,,,,,,,,,,,,,,,,,0.624,5.7790869703054,0.03038148578674839,67.96602557328542,0.5747126436781609,0.0,0.7659574468085106,0.7792207792207791,0.5299727174268627,0.1275,0.08744584169924971,0.015024724849990628,0.7254901960784313,0.64,0.24708721227345612,0.3510204266403757,0.9113513513513514,0.28932428545823563,0.18575355016032982,0.4621430623233056,0.9657956406126403,0.624,0.376,0.5378569376766944,Q4_Desarrollo,0.5369863694006368,69.00426726148604,Alta
3555604,Uchoa,31.9,1.9,3,10.5,56.6,0.0,0.0,0.5,0.0,0.2,0.0,9932.5,438.0,1.5,7010.0,6.8,93.2,0.944817914829,572.594936708861,648,11.64,355560,0.49,0.0,0.63,0.38,,,,,,,,,,,,,,,,,,,,,,,0.13999999999999999,4.409765919959728,0.015101938082053864,70.5763906367984,0.4827586206896552,0.0,0.6063829787234044,0.4935064935064935,0.39566202322988825,0.39875,0.5698464636294991,0.09845415827395679,0.7058823529411764,1.0,0.05593844684675936,0.4518049916123785,0.9037837837837838,0.3655551370758099,0.26660558863948697,0.5119815031663603,0.9468123484203715,0.13999999999999999,0.86,0.48801849683363974,Q3_Vulnerable,0.6332521732857997,92.52277871944584,Muy Alta
