Unnamed: 0,Cod_ibge,Municipio,mort_infantil,IDESP_ensino_medio,n_familias_rua,forest_cover,n_pessoas_pobreza,esgoto_tratado,UAI_housing,UAI_env,UAI_food,UAI_mob,UAI_Crisk,population,population_preta,population_indigena,population_branca,pct_rural,pct_urbana,pol_deficit,mean_species_richness,max_species_richness,Vert_rich_risk,COD,flooding_exposure,flooding_risks,hydric_stress_exp,hydric_stress_risk,municipality,persist_malaria,persist_leptospirose,persist_diarrhea,persist_dengue,persist_chagas,incidence_malaria,incidence_leptospirose,incidence_diarrhea,incidence_dengue,incidence_chagas,copersistence,malaria_leptospirose,malaria_diarrhea,malaria_dengue,malaria_chagas,leptospirose_diarrhea,leptospirose_dengue,leptospirose_chagas,diarrhea_dengue,diarrhea_chagas,dengue_chagas,idx_clima,idx_biodiv,idx_vulnerabilidad,idx_gobernanza,idx_gobernanza_100,incidence_malaria_norm,incidence_dengue_norm,incidence_diarrhea_norm,incidence_leptospirose_norm,incidence_chagas_norm,idx_carga_enfermedad,tercil_clima,tercil_biodiv,tercil_vuln,grupo_clima_biodiv
33,3518701,Guarujá,17.5,1.8,420,58.2,76.1,69.9,1.0,0.63,0.5,1.0,0.6,289193.0,23429.0,480.0,128561.0,0.3,99.7,0.0,645.133333333333,705,8.49,351870,0.94,0.0,0.8,0.0,GUARUJA,2.0,10.0,10.0,8.0,0.0,0.518684753780347,1.90184409719461,4.21863599741349,130.535663034721,0.0,10.0,2.0,2.0,1.0,0.0,10.0,8.0,0.0,8.0,0.0,0.0,44.68085106382979,68.0055706057777,40.31237823429136,0.746,74.6,0.9577337133023954,2.7328072649514077,0.1160158088031036,4.337531996415602,0.0,1.6288177566945017,Bajo,Alta,Alta,Bajo Clima / Alta Biodiv
35,3526209,Juquitiba,20.5,2.6,53,82.2,73.3,39.7,0.67,0.5,0.75,0.2,0.2,28070.5,1374.0,35.0,16480.0,42.7,57.3,0.389622442823,696.081395348837,775,10.18,352620,0.52,0.31,1.0,0.62,JUQUITIBA,1.0,1.0,10.0,3.0,0.0,3.56245880907002,7.12491761814004,17.0998022835361,47.4994507876003,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,65.81090461262875,85.05085186257745,42.7231379014123,0.4640000000000001,46.400000000000006,6.577958728939868,0.8223561296212332,1.2643438285631057,16.249785240596037,0.0,4.9828887855440485,Alto,Alta,Alta,Alto Clima / Alta Biodiv
36,3510203,Capão Bonito,9.2,2.6,23,40.4,67.8,90.3,0.67,0.75,0.5,0.6,0.2,46257.5,1068.0,46.5,32303.5,14.9,85.1,0.863081807588,706.106666666667,781,9.59,351020,0.68,0.0,0.63,0.57,CAPAO BONITO,1.0,3.0,10.0,5.0,0.0,2.16181159811922,2.88241546415897,63.1248986650813,63.989623304329,0.0,8.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,5.0,0.0,0.0,51.19480360676253,65.14363375600429,27.563940995879996,0.544,54.400000000000006,3.991711408975977,1.2017528765804752,5.367381287525381,6.573919135219899,0.0,3.426952941660346,Medio,Alta,Baja,Medio Clima / Alta Biodiv
42,3548500,Santos,8.5,2.2,1603,73.6,70.7,81.9,1.0,0.88,0.75,0.6,1.0,419004.0,23950.5,416.0,292687.0,0.1,99.9,0.497144203694,608.626373626374,748,18.63,354850,0.94,0.72,1.0,0.63,SANTOS,5.0,10.0,10.0,7.0,0.0,0.286393447317925,2.05248637244513,5.32214489599145,556.285176957056,0.0,10.0,5.0,5.0,3.0,0.0,10.0,7.0,0.0,7.0,0.0,0.0,88.45454545454545,72.09036185659676,32.31539905873586,0.8460000000000001,84.60000000000001,0.5288157358899858,12.528216041769728,0.21439123228139245,4.6811015297310945,0.0,3.59050490793444,Alto,Alta,Media,Alto Clima / Alta Biodiv
43,3520400,Ilhabela,6.2,1.7,34,94.1,67.2,54.4,1.0,0.5,0.75,0.6,0.6,31565.0,2035.0,90.5,16291.5,3.1,96.9,0.0,252.258620689655,309,18.36,352040,0.38,0.0,0.78,0.0,ILHABELA,1.0,4.0,10.0,8.0,0.0,3.16806589577063,3.16806589577063,27.2453667036274,2054.49073340725,0.0,9.0,0.0,1.0,1.0,0.0,4.0,3.0,0.0,8.0,0.0,0.0,28.05698214722426,47.05,37.28646076422428,0.6900000000000001,69.0,5.849725661356137,46.998098865422946,2.1687988787570043,7.225401498434195,0.0,12.448404980794056,Bajo,Media,Alta,Bajo Clima / Media Biodiv
47,3522208,Itapecerica da Serra,9.7,2.5,71,53.2,70.1,41.9,1.0,0.63,0.0,0.4,0.6,155568.0,14723.0,225.5,69912.0,5.5,94.5,0.548969725215,715.041666666667,766,6.65,352220,0.94,0.72,1.0,0.66,ITAPECERICA DA SERRA,2.0,10.0,10.0,9.0,0.0,0.964208577599506,2.05697829887895,42.7465802735781,149.059503811124,0.0,10.0,2.0,2.0,1.0,0.0,10.0,9.0,0.0,9.0,0.0,0.0,89.42857142857143,72.42844833473718,38.69860248663509,0.526,52.6,1.7803782638528474,3.15899352374456,3.5506984278557154,4.691346257288406,0.0,2.6362832945483055,Alto,Alta,Alta,Alto Clima / Alta Biodiv
48,3513801,Diadema,13.2,2.0,491,11.1,65.6,55.6,1.0,0.75,0.5,0.6,0.4,389663.0,36306.0,300.0,184429.0,0.0,100.0,0.0,511.666666666667,759,32.59,351380,0.94,1.0,1.0,0.68,DIADEMA,5.0,10.0,10.0,6.0,0.0,0.25663201279054,2.05305610232432,60.6934710249626,213.603378645992,0.0,10.0,5.0,5.0,3.0,0.0,10.0,6.0,0.0,6.0,0.0,0.0,97.07792207792208,31.23864252054548,37.127812816490135,0.65,65.0,0.4738622617510693,4.643983212218193,5.1506247900818805,4.682400911517407,0.0,2.99017423511371,Alto,Baja,Alta,Alto Clima / Baja Biodiv
49,3550704,São Sebastião,12.7,1.9,213,88.4,74.5,79.4,1.0,0.88,0.5,0.6,0.6,77768.5,6126.0,385.0,39293.5,1.6,98.4,0.620000013283,635.68253968254,757,16.03,355070,0.43,0.0,0.78,0.69,SAO SEBASTIAO,5.0,1.0,8.0,8.0,0.0,1.28586767135794,1.28586767135794,3.21466917839485,1512.18038151694,0.0,7.0,1.0,4.0,5.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,51.89636115901707,82.16967804810363,36.1114009999265,0.716,71.6,2.3743108135132673,34.520922951054644,0.02651434569176477,2.9326758044462142,0.0,7.970884782941178,Medio,Alta,Alta,Medio Clima / Alta Biodiv
50,3506359,Bertioga,16.7,1.6,199,84.2,73.9,68.8,1.0,0.88,0.25,1.0,0.0,55916.5,4897.5,277.0,25074.5,1.1,98.9,0.0,661.71974522293,788,16.03,350635,0.28,0.0,0.78,0.67,BERTIOGA,4.0,9.0,10.0,8.0,0.0,2.23547611170227,7.15352355744727,38.450189121279,515.053696136203,0.0,10.0,4.0,4.0,3.0,0.0,9.0,7.0,0.0,8.0,0.0,0.0,46.93666568208022,82.64808868622362,40.162822851886006,0.626,62.6,4.1277304217160085,11.579584990161585,3.167684480636569,16.315026748675308,0.0,7.038005328237896,Bajo,Alta,Alta,Bajo Clima / Alta Biodiv
51,3548708,São Bernardo do Campo,9.0,2.2,1165,52.5,66.9,31.9,1.0,1.0,0.0,1.0,0.6,788096.0,48264.0,910.5,485586.5,0.5,99.5,0.545439073599,677.5,774,12.47,354870,0.94,1.0,0.8,0.51,SAO BERNARDO DO CAMPO,4.0,10.0,10.0,7.0,0.0,0.317220237128472,1.25619213902875,6.47129283742082,164.62823963433,0.0,10.0,4.0,4.0,3.0,0.0,10.0,7.0,0.0,7.0,0.0,0.0,86.23929262227135,68.36077469437929,40.77444688325487,0.72,72.0,0.5857363522359801,3.51719036611234,0.31683527738424366,2.8649948777191505,0.0,1.4569513746903429,Alto,Alta,Alta,Alto Clima / Alta Biodiv
53,3543303,Ribeirão Pires,8.6,2.1,82,49.0,62.9,51.4,0.67,0.75,0.0,0.4,1.0,114313.5,7108.5,165.5,68777.5,1.7,98.3,0.617540192412,739.533333333333,768,3.71,354330,0.82,0.0,0.79,0.48,RIBEIRAO PIRES,1.0,5.0,10.0,6.0,0.0,0.874787317333473,1.39965970773356,3.84906419626728,65.900644572455,0.0,8.0,1.0,1.0,1.0,0.0,5.0,3.0,0.0,6.0,0.0,0.0,56.551033339367905,72.75380745327469,35.21004736009156,0.564,56.39999999999999,1.6152649555888545,1.2457205944294791,0.08306928477394197,3.1922010722873635,0.0,1.2272511814159277,Alto,Alta,Media,Alto Clima / Alta Biodiv
54,3529401,Mauá,13.1,2.1,227,18.2,74.4,,1.0,0.75,0.25,1.0,0.8,417662.5,32151.5,411.0,222066.5,0.3,99.7,0.670198755387,661.578947368421,771,14.19,352940,0.94,1.0,0.88,0.57,MAUA,6.0,10.0,10.0,6.0,0.0,0.399046279392253,1.14925328464969,17.2148564929818,67.7979628687437,0.0,10.0,6.0,6.0,5.0,0.0,10.0,6.0,0.0,6.0,0.0,0.0,90.31500414479137,49.63414576576208,39.08946861058452,0.76,76.0,0.7368253494177188,1.2893730418995064,1.2746006616450736,2.6210996482345554,0.0,1.1843797402393708,Alto,Media,Alta,Alto Clima / Media Biodiv
55,3515004,Embu das Artes,9.7,2.1,162,35.7,71.4,47.7,0.67,0.75,0.5,0.8,1.0,245460.5,27133.0,217.5,101376.5,0.6,99.4,0.59806051248,736.25,762,3.38,351500,0.94,0.85,1.0,0.66,EMBU DAS ARTES,2.0,9.0,10.0,6.0,0.0,0.611096286367868,2.03698762122623,25.8290030371485,103.343171983544,0.0,10.0,1.0,2.0,0.0,0.0,9.0,6.0,0.0,6.0,0.0,0.0,92.67857142857143,65.77866574088827,39.65796255507148,0.744,74.4,1.1283684574547024,2.1071775066169276,2.0425331316763247,4.645753559087429,0.0,1.9847665309670766,Alto,Alta,Alta,Alto Clima / Alta Biodiv
56,3547809,Santo André,10.4,2.0,526,47.8,68.3,47.9,1.0,0.5,0.0,0.8,1.0,712663.0,38032.0,602.5,484941.0,0.1,99.9,0.432463048297,590.4,797,25.92,354780,0.94,1.0,0.93,0.54,SANTO ANDRE,8.0,10.0,10.0,7.0,0.0,0.245557858342583,0.940135800511602,21.5389321460494,76.2532320926681,0.0,10.0,8.0,8.0,5.0,0.0,10.0,7.0,0.0,7.0,0.0,0.0,90.67076540480797,57.385441755640024,39.06139658102732,0.6599999999999999,65.99999999999999,0.45341421313613445,1.4839071885233341,1.6600826220269562,2.144165823954808,0.0,1.1483139695282465,Alto,Alta,Alta,Alto Clima / Alta Biodiv
57,3548807,São Caetano do Sul,9.9,2.4,233,1.6,50.7,85.0,0.33,0.75,0.0,0.8,0.8,157459.0,4702.0,126.5,129452.0,0.0,100.0,0.0,256.6,444,42.21,354880,0.94,0.0,1.0,0.34,SAO CAETANO DO SUL,3.0,7.0,10.0,6.0,0.0,0.635085958884535,1.17944535221414,31.6272807524498,192.642740861642,0.0,9.0,2.0,3.0,2.0,0.0,7.0,5.0,0.0,6.0,0.0,0.0,61.03896103896104,1.2299178181983932,22.798063921819743,0.536,53.6,1.1726645698290132,4.161732478849216,2.5594370065998064,2.6899586358308154,0.0,2.11675853822177,Alto,Baja,Baja,Alto Clima / Baja Biodiv
