"cod_ibge","Y2014","Y2015","Y2016"
"351300",932,3429,726
"351310",138,192,284
"351320",1,0,43
"351330",4,133,1
"351340",233,374,276
"351350",201,511,238
"351360",0,1,4
"351370",71,1611,241
"351380",1049,5720,2149
"351385",12,64,61
"351390",2,17,21
"351400",12,45,82
"351410",154,626,78
"351420",6,230,116
"351430",89,91,47
"351440",166,1359,186
"351450",29,150,16
"351460",37,204,322
"351470",14,24,8
"351480",4,3,12
"351490",74,854,37
"351492",8,155,12
"351495",1,115,14
"351500",396,1542,451
