tercil_clima,Baja,Media,Alta
Bajo,15.005528857781375,12.224497901139076,5.798148188204161
Medio,7.899359769618425,6.285528132248092,7.990211625732986
Alto,4.216501376499981,5.22522479389387,4.0238205639339055
