Cod_ibge,Municipio,mort_infantil,IDESP_ensino_medio,n_familias_rua,forest_cover,n_pessoas_pobreza,esgoto_tratado,UAI_housing,UAI_env,UAI_food,UAI_mob,UAI_Crisk,population,population_preta,population_indigena,population_branca,pct_rural,pct_urbana,pol_deficit,mean_species_richness,max_species_richness,Vert_rich_risk,COD,flooding_exposure,flooding_risks,hydric_stress_exp,hydric_stress_risk,municipality,persist_malaria,persist_leptospirose,persist_diarrhea,persist_dengue,persist_chagas,incidence_malaria,incidence_leptospirose,incidence_diarrhea,incidence_dengue,incidence_chagas,copersistence,malaria_leptospirose,malaria_diarrhea,malaria_dengue,malaria_chagas,leptospirose_diarrhea,leptospirose_dengue,leptospirose_chagas,diarrhea_dengue,diarrhea_chagas,dengue_chagas,UAI_promedio,pct_preta,pct_indigena,pct_branca,riesgo_climatico,cuadrante,idx_clima,mort_norm,pobreza_pct,pobreza_norm,idx_social,idx_capacidad_inv,idx_politicas,idx_riesgo_eco,IVM,IVM_100,categoria_IVM
3509908,Cananéia,24.1,1.7,15,85.3,77.6,85.2,0.33,0.38,0.5,0.6,0.2,12257.5,639.5,148.0,6948.0,11.8,88.2,0.459919990992,614.249382716049,717,14.33,350990,0.5,0.5,0.2,0.28,,,,,,,,,,,,,,,,,,,,,,,0.402,5.2172139506424635,1.2074240261064655,56.68366306343056,0.39,Q4_Desarrollo,0.376706351853087,0.30125,0.6330817866612277,0.10939047745159129,0.20532023872579566,0.6065217391304347,0.46089084459773816,0.3282180485570316,0.3955314445728174,43.19786971258576,Moderada
3520426,Ilha Comprida,21.1,2.7,5,70.7,66.4,60.0,0.0,0.38,0.5,0.6,0.2,11222.0,662.0,14.5,6522.5,2.1,97.9,0.566227317213,375.786885245902,667,43.66,352042,0.12,0.0,0.78,0.0,,,,,,,,,,,,,,,,,,,,,,,0.33599999999999997,5.899126715380502,0.12921047941543395,58.12243806808055,0.0,Q3_Vulnerable,0.2058571777940817,0.26375000000000004,0.5916948850472287,0.10223276331139554,0.18299138165569778,0.6782608695652174,0.5674225769176239,1.0,0.5269064011865241,71.79705811428512,Alta
3505401,Barra do Turvo,17.5,1.6,0,76.3,75.6,94.8,1.0,0.75,0.75,0.2,0.4,7302.5,406.5,18.0,2905.0,55.0,45.0,0.630879122743,677.859375,739,8.27,350540,0.35,0.34,0.13,0.14,,,,,,,,,,,,,,,,,,,,,,,0.62,5.566586785347484,0.24649092776446424,39.78089695309826,0.24000000000000002,Q1_Modelo,0.22953133684608373,0.21875,1.0352618966107496,0.17894606503192528,0.19884803251596264,0.3695652173913043,0.6322108571383214,0.18941823179111314,0.323914735136557,27.607533329831963,Moderada
3509254,Cajati,9.2,2.3,61,60.5,72.2,83.2,0.67,0.63,0.25,0.8,0.6,28443.5,1072.0,17.0,14047.0,23.1,76.9,0.79226896465,687.527397260274,751,8.45,350925,0.61,0.62,0.75,0.53,,,,,,,,,,,,,,,,,,,,,,,0.5900000000000001,3.768875138432331,0.05976760947140823,49.38562413205126,0.575,Q1_Modelo,0.6657609741688979,0.11499999999999999,0.25383655316680437,0.043801393356765285,0.07940069667838263,0.40217391304347816,0.7939413798441859,0.1935409986257444,0.4269635924721379,50.040375642281006,Alta
3524600,Jacupiranga,5.6,1.4,21,71.0,76.6,93.9,0.67,0.38,0.5,0.6,0.2,16652.5,581.5,15.0,8965.0,34.3,65.7,0.637360243448,659.868778280543,730,9.61,352460,0.52,0.45,0.44,0.48,,,,,,,,,,,,,,,,,,,,,,,0.47000000000000003,3.4919681729470047,0.09007656508031828,53.83576039633689,0.46499999999999997,Q1_Modelo,0.4987183304589761,0.06999999999999999,0.4599909923434919,0.07945505397918753,0.07472752698959376,0.5326086956521738,0.6387056589607526,0.2201099404489235,0.39297403050208396,42.64114285447441,Moderada
3536208,Pariquera-Açu,12.7,1.8,27,64.6,68.0,94.1,0.33,0.63,1.0,0.4,0.4,18839.5,841.5,123.5,10567.0,25.8,74.2,0.600520542687,678.358974358974,714,4.99,353620,0.52,0.53,0.7,0.39,PARIQUERA-ACU,1.0,2.0,9.0,6.0,0.0,5.30799649672231,5.30799649672231,26.5399824836116,299.901802064811,0.0,6.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,5.0,0.0,0.0,0.5519999999999999,4.466679051991826,0.6555375673452056,56.08959898086467,0.46,Q1_Modelo,0.5586464874084097,0.15875,0.36094376177711723,0.06232519561519811,0.11053759780759906,0.4434782608695653,0.6017881925948242,0.11429225836005498,0.36574855940809065,36.7143939731667,Moderada
3522158,Itaoca,43.5,2.0,0,52.2,76.3,57.7,1.0,0.38,1.0,0.2,0.2,3325.0,172.5,0.5,1064.5,53.1,46.9,0.946309786576,675.983870967742,730,7.4,352215,0.4,0.32,0.37,0.37,,,,,,,,,,,,,,,,,,,,,,,0.556,5.18796992481203,0.015037593984962405,32.015037593984964,0.345,Q1_Modelo,0.377404264847405,0.54375,2.2947368421052627,0.3967676770643432,0.47025883853217154,0.4391304347826086,0.9483073693870038,0.16949152542372883,0.4809184865945835,61.785888044152074,Alta
3542800,Ribeira,23.8,2.6,0,60.2,73.8,48.0,0.0,0.75,0.5,0.2,0.6,3245.0,111.5,1.0,1730.0,46.8,53.2,0.541969004288,652.363636363636,701,6.94,354280,0.33,0.32,0.19,0.2,,,,,,,,,,,,,,,,,,,,,,,0.41,3.436055469953775,0.030816640986132512,53.312788906009246,0.26,Q1_Modelo,0.25422217669833225,0.2975,2.274268104776579,0.3932276833732012,0.3453638416866006,0.5978260869565217,0.5431130566717123,0.15895556573522676,0.3798961455496787,39.79420074853453,Moderada
3522653,Itapirapuã Paulista,0.0,2.1,0,46.2,87.9,84.1,0.0,0.25,0.25,0.2,0.2,4093.0,86.5,0.0,2124.5,54.8,45.2,0.653110451004,636.658914728682,678,6.1,352265,0.4,0.39,0.21,0.21,,,,,,,,,,,,,,,,,,,,,,,0.18,2.1133642804788666,0.0,51.90569264598094,0.3,Q2_Conservar,0.30040302140999137,0.0,2.1475690202785245,0.3713155374213324,0.1856577687106662,0.8478260869565217,0.6544891139208584,0.1397159871736143,0.4256183956343304,49.74753796002055,Moderada
3542602,Registro,11.5,2.0,166,55.6,71.9,90.9,0.67,0.38,0.75,0.8,0.8,57104.0,2423.0,73.5,32357.5,12.7,87.3,0.672104769324,677.201754385965,716,5.42,354260,0.73,0.77,0.78,0.4,,,,,,,,,,,,,,,,,,,,,,,0.68,4.243135332025778,0.12871252451667134,56.66415662650602,0.585,Q1_Modelo,0.7035146639860507,0.14375,0.12591061922107033,0.02167706825407606,0.08271353412703802,0.30434782608695643,0.673523527698309,0.12414109024278516,0.3776481284282278,39.3048269223215,Moderada
