cod_ibge,incidence_diarrhea_mean,incidence_diarrhea_max,total_cases_diarrhea,persist_diarrhea
350010,91.76995784967384,151.0229668889269,319.0,10
350020,11.033037376569897,82.62186725419994,4.0,2
350030,40.279266863849685,195.4496869751107,132.0,7
350040,7.535396879701134,25.182573659027952,6.0,5
350050,91.43607340592663,179.23093634586138,167.0,10
350055,16.92043298692382,49.92511233150275,10.0,6
350060,12.472309074415278,33.288948069241016,4.0,4
350070,94.15824619373578,209.78639930252834,338.0,10
350075,3.73940661204045,19.7199763360284,2.0,2
350080,43.83271149787168,145.10278113663847,18.0,9
350090,66.42342533878993,207.30759264058048,26.0,7
350100,77.21970476119415,123.73174956693887,123.0,10
350110,101.84324491488039,171.6527709661599,42.0,10
350115,1.1202143744221993,5.623031938821413,2.0,2
350120,34.26219800869476,80.81896551724138,13.0,7
350130,37.384112440097695,69.43877134221061,91.0,10
350140,72.4398293966782,172.2252361638551,35.0,8
350150,51.51544577096554,132.2314049586777,16.0,8
350160,10.226564439485308,18.987664141829498,227.0,10
350170,21.428883933282087,43.92651352678225,81.0,10
350180,11.977975118903162,17.674558356973055,7.0,7
350190,28.67511896145935,46.512325766328075,199.0,10
350200,4.029165999569405,20.27163997567403,2.0,2
350210,214.0521512947526,372.30000372300003,1207.0,10
350220,106.35019784289061,238.41059602649005,251.0,10
350230,11.190048904168712,31.26465530717524,7.0,5
350240,160.69403776734578,237.5923970432946,63.0,10
350250,9.488324661178309,22.129401676302177,34.0,9
350260,1093.6492590943274,2632.2596003085464,480.0,10
350270,43.76279844260989,100.848743021267,109.0,10
350275,5.887718820823461,16.689847009735743,11.0,7
350280,25.25066453870584,40.339945813640355,476.0,10
350290,1.892606151929742,9.39996866677111,6.0,4
350300,54.11356205563588,96.487842531841,29.0,10
350310,19.26452556181936,48.92367906066536,12.0,8
350315,3.9494470774091623,39.494470774091624,1.0,1
350320,14.162755976293194,19.178556532655065,315.0,10
350330,2.572549833126029,5.214696504663428,33.0,9
350335,159.69529820672645,423.7445244262234,30.0,9
350340,31.577718681977434,84.34751174840342,26.0,9
350350,7.726659751312829,51.4668039114771,3.0,2
350360,6.314464113833209,18.019641409135957,7.0,5
350370,49.13900235819797,105.34077741493732,44.0,10
350380,7.798180564429226,17.911873581976675,39.0,10
350390,11.782289657017948,20.568414175267087,97.0,10
350395,60.15831084657301,219.53896816684963,11.0,5
350400,12.81338613803868,24.26352295803993,127.0,10
350410,6.447730161106013,12.886321170077963,88.0,10
350420,207.95447840100482,439.3283944318669,303.0,10
350430,36.18452169388006,75.82938388625593,19.0,8
350440,81.69019893330552,145.48566538296961,100.0,10
350450,151.45312974006814,215.507586956706,1310.0,10
350460,17.429317097578043,40.61267115339986,29.0,8
350470,36.66534814668066,103.97334123530726,16.0,7
350480,26.35808430267183,56.554688383667006,23.0,8
350490,5.637844604849122,19.684322519750754,6.0,4
350500,84.77542646456254,225.11006274139032,28.0,8
350510,34.73435351847572,90.19843656043295,24.0,10
350520,192.4848155329103,424.94516938821846,632.0,10
350530,166.06338425923582,226.51862097757407,595.0,10
350535,36.670975151317954,95.74417157355545,20.0,10
350540,3.896654734943303,13.118194936376755,3.0,3
350550,18.477408507067402,52.33744344894882,214.0,10
350560,14.049088232157263,25.616394492475184,43.0,10
350570,81.24695233873197,127.4450958304898,2074.0,10
350580,908.4999813103148,1448.2975089777144,1890.0,10
350590,189.96719654041814,277.7387146674167,1126.0,10
350600,14.702632204380668,18.139091637608022,533.0,10
350610,17.690113832367068,41.72191455674908,135.0,10
350620,71.9362351882665,257.6370997423629,20.0,9
350630,275.2405188540864,519.2878338278931,301.0,10
350635,39.246523528840086,80.40071717439719,215.0,10
350640,91.32001392542726,354.57069997929307,66.0,8
350650,22.607900911184892,46.47154251723672,266.0,10
350660,19.314923783447334,41.97531641518205,58.0,10
350670,75.3135329700512,195.04040122596825,107.0,10
350680,18.781166646288856,54.1858574911948,22.0,7
350690,8.719797146892201,20.631148082128473,9.0,7
350700,5.633991306593913,15.836705965159247,31.0,9
350710,4.976132152121411,15.002242835303878,11.0,6
350715,10.625708273810872,50.58168942842691,4.0,3
350720,11.947431302270012,119.47431302270012,1.0,1
350730,94.44105873347434,278.4868879090276,42.0,10
350740,103.16470949335856,248.5212982752622,155.0,10
350745,309.290647685495,610.2522375915379,76.0,9
350750,17.35734624322103,30.111196346508176,242.0,10
350760,3.7392229214237673,6.521687575592288,60.0,10
350770,73.24699316857392,199.2309684617377,39.0,10
350775,80.84431172457673,155.75960063238398,22.0,10
350780,45.31566842034551,89.45998698763826,105.0,10
350790,53.32597440723528,92.72511223215771,122.0,10
350800,7.7443287201254165,20.529665366454527,15.0,8
350810,158.27263032244693,231.01708310535597,257.0,10
350820,58.62076085972687,123.69593559894808,25.0,8
350830,194.17318564168767,496.61399548532734,85.0,10
350840,2.991220730349638,8.047156336129719,14.0,6
350850,13.269518461625927,35.47782600396926,117.0,10
350860,27.48233981470276,66.6447405470267,85.0,9
350870,173.44070826087255,397.48463014055164,325.0,10
350880,171.3893386121976,454.454563632728,291.0,10
350890,174.4160120970673,540.2750491159136,72.0,10
350900,8.383997476636615,14.616830235957403,79.0,10
