cod_ibge,ano,hosp_circulatorio,hosp_respiratorio,hosp_calor,obit_circulatorio,obit_respiratorio,obit_calor,populacao,inc_hosp_circulatorio,inc_hosp_respiratorio,inc_hosp_calor,inc_obit_circulatorio,inc_obit_respiratorio,inc_obit_calor
350010,2010,628,668,0,71,47,0,33482.79,1875.5904152551204,1995.0547729146824,0,212.04923484572222,140.37062024998514,0
350020,2010,33,36,0,7,4,0,3512.52,939.4964299135663,1024.9051962693452,0,199.28712149681712,113.87835514103836,0
350030,2010,309,341,0,77,25,0,32127.48,961.7934553223595,1061.396661051536,0,239.6702137858307,77.81500447591907,0
350040,2010,98,70,0,22,8,0,7542.81,1299.2505445583276,928.0361032559483,0,291.6684895947266,106.06126894353696,0
350050,2010,230,205,0,51,25,0,17180.46,1338.7301620561966,1193.2160140066098,0,296.8488620211566,145.5141480495866,0
350055,2010,55,34,0,7,2,0,5573.7,986.7771857114664,610.0077148034519,0,125.58982363600481,35.88280675314423,0
350060,2010,28,12,0,12,0,0,2743.29,1020.67225849254,437.43096792537426,0,437.43096792537426,0,0
350070,2010,434,385,0,75,28,0,34334.19,1264.0461301111222,1121.3312444534151,0,218.44115151689903,81.55136323297565,0
350075,2010,22,18,0,11,3,0,4929.21,446.31898417799204,365.17007796381165,0,223.15949208899602,60.86167966063527,0
350080,2010,42,36,0,7,4,0,3866.94,1086.1301183881828,930.9686729041567,0,181.02168639803048,103.44096365601742,0
350090,2010,24,17,0,7,2,0,3798.63,631.8067303211947,447.52976731084624,0,184.27696301034845,52.65056086009956,0
350100,2010,322,261,0,36,16,0,15460.83,2082.682495053629,1688.1370534440907,0,232.8464901302194,103.4873289467642,0
350110,2010,31,62,0,14,3,0,4049.1,765.6022325948976,1531.2044651897952,0,345.75584697834086,74.0905386382159,0
350115,2010,74,41,0,31,10,0,16791.39,440.70205027695744,244.17275758588184,0,184.61842646737406,59.55433111850776,0
350120,2010,32,28,0,14,3,0,3826.35,836.3061403164897,731.7678727769285,0,365.88393638846424,78.4037006546709,0
350130,2010,259,253,0,37,17,0,23343.21,1109.5303516525792,1083.8269458227896,0,158.50433595036844,72.82631651773686,0
350140,2010,33,77,0,9,2,0,4645.08,710.4290991759023,1657.6678980771053,0,193.75339068433698,43.056309040963775,0
350150,2010,24,26,0,7,2,0,2982.87,804.5942330708344,871.6437524934041,0,234.6733179789934,67.04951942256955,0
350160,2010,779,814,0,341,171,0,210663.09,369.7847591621295,386.3989652862303,0,161.86983680909645,81.17226420632109,0
350170,2010,146,129,0,55,20,0,34604.46,421.910932868191,372.78431739723726,0,158.93905005308565,57.79601820112205,0
350180,2010,45,31,0,13,2,0,5657.85,795.3551260637873,547.9113090661647,0,229.76925864064972,35.34911671394611,0
350190,2010,365,407,0,156,73,0,65583.54,556.5420835776782,620.5825425099042,0,237.86456174826796,111.30841671553564,0
350200,2010,17,8,0,5,2,0,4304.5199999999995,394.9336976015909,185.85115181251336,0,116.15696988282085,46.46278795312834,0
350210,2010,721,676,0,113,48,0,54794.52,1315.8250131582502,1233.7000123370003,0,206.22500206225004,87.60000087600001,0
350220,2010,264,565,0,42,18,0,22209.66,1188.671956256872,2543.93808820126,0,189.1069021317751,81.04581519933218,0
350230,2010,47,26,0,7,7,0,5681.61,827.2303097185481,457.61676707834584,0,123.20451421340078,123.20451421340078,0
350240,2010,41,67,0,11,1,0,3726.36,1100.2694318315998,1798.0012666516384,0,295.19423780847796,26.835839800770724,0
350250,2010,320,268,0,65,39,0,34664.85,923.1252983930408,773.1174374041717,0,187.5098262360864,112.50589574165184,0
350260,2010,117,118,0,21,8,0,4368.87,2678.03802814,2700.927242055726,0,480.67349223025633,183.11371132581195,0
350270,2010,136,250,0,39,17,0,24789.6,548.6171620356924,1008.4874302126699,0,157.3240391131765,68.57714525446156,0
350275,2010,52,40,0,11,8,0,17359.65,299.54520972485045,230.41939209603876,0,63.365332826410665,46.08387841920776,0
350280,2010,1183,796,0,309,135,0,180700.74,654.6735779831339,440.50732719744263,0,171.00095992966052,74.70915725082254,0
350290,2010,95,35,0,46,16,0,27595.26,344.2620218109922,126.83337645668135,0,166.69529477163832,57.980972094482894,0
350300,2010,63,31,0,8,4,0,5130.18,1228.0270867688853,604.2672966640546,0,155.93994752620765,77.96997376310382,0
350310,2010,29,26,0,18,7,0,6066.72,478.0177756679062,428.56766094364,0,296.7006883455969,115.3836010232877,0
350315,2010,40,9,0,5,4,0,2459.16,1626.5716748808536,365.97862684819205,0,203.3214593601067,162.65716748808538,0
350320,2010,832,715,0,466,234,0,208566.27,398.9139758792254,342.8166980212093,0,223.4301836054315,112.19455571603214,0
350330,2010,646,438,0,222,76,0,118768.32,543.9160880611935,368.7852114099113,0,186.918531810503,63.99012800719922,0
350335,2010,42,32,0,4,0,0,1887.93,2224.658753237673,1694.9780977048936,0,211.8722622131117,0,0
350340,2010,52,46,0,26,13,0,7808.13,665.9725183878854,589.1295354969757,0,332.9862591939427,166.49312959697136,0
350350,2010,24,13,0,7,4,0,3666.96,654.4930950978467,354.51709317800027,0,190.89381940353863,109.0821825163078,0
350360,2010,82,84,0,16,7,0,10494.99,781.3251846833584,800.3818965049038,0,152.45369457236262,66.69849137540865,0
350370,2010,67,84,0,23,10,0,8543.7,784.203565200089,983.1805892060817,0,269.20420894928424,117.04530823881923,0
350380,2010,145,173,0,42,23,0,44575.74,325.2890473607393,388.10348409246825,0,94.22165509759346,51.59757302963451,0
350390,2010,219,122,0,117,53,0,75350.88,290.6402685675336,161.90919070885437,0,155.27356813881934,70.33759924237116,0
