cod_ibge,year,diarrhea,population,incidence_diarrhea
350110,2017,4.0,4154.0,96.29272989889263
350110,2018,7.0,4110.0,170.31630170316302
350110,2019,3.0,4099.0,73.18858258111734
350115,2010,0.0,16791.39,0.0
350115,2011,0.0,16961.0,0.0
350115,2012,0.0,17079.0,0.0
350115,2013,1.0,17784.0,5.623031938821413
350115,2014,1.0,17924.0,5.57911180540058
350115,2015,0.0,18061.0,0.0
350115,2016,0.0,18194.0,0.0
350115,2017,0.0,18324.0,0.0
350115,2018,0.0,18484.0,0.0
350115,2019,0.0,18628.0,0.0
350120,2010,0.0,3826.35,0.0
350120,2011,1.0,3865.0,25.873221216041397
350120,2012,1.0,3834.0,26.08242044861763
350120,2013,0.0,3915.0,0.0
350120,2014,1.0,3883.0,25.75328354365182
350120,2015,3.0,3853.0,77.86140669608098
350120,2016,0.0,3824.0,0.0
350120,2017,3.0,3795.0,79.05138339920948
350120,2018,3.0,3712.0,80.81896551724138
350120,2019,1.0,3679.0,27.18129926610492
350130,2010,10.0,23343.21,42.83900971631579
350130,2011,3.0,23579.0,12.723185885745792
350130,2012,11.0,23642.0,46.527366551053206
350130,2013,17.0,24482.0,69.43877134221061
350130,2014,17.0,24568.0,69.1957017258222
350130,2015,8.0,24651.0,32.45304450123727
350130,2016,6.0,24733.0,24.2590870496907
350130,2017,3.0,24813.0,12.090436464756378
350130,2018,7.0,24830.0,28.19170358437374
350130,2019,9.0,24915.0,36.12281757977122
350140,2010,8.0,4645.08,172.2252361638551
350140,2011,3.0,4692.0,63.93861892583121
350140,2012,8.0,4732.0,169.06170752324599
350140,2013,8.0,4937.0,162.0417257443792
350140,2014,3.0,4984.0,60.19261637239165
350140,2015,1.0,5030.0,19.880715705765407
350140,2016,0.0,5075.0,0.0
350140,2017,0.0,5119.0,0.0
350140,2018,3.0,5179.0,57.926240586985905
350140,2019,1.0,5227.0,19.131432944327532
350150,2010,2.0,2982.87,67.04951942256955
350150,2011,0.0,3013.0,0.0
350150,2012,4.0,3025.0,132.2314049586777
350150,2013,4.0,3137.0,127.51036021676761
350150,2014,1.0,3153.0,31.71582619727244
350150,2015,1.0,3168.0,31.565656565656568
350150,2016,2.0,3182.0,62.85355122564425
350150,2017,0.0,3196.0,0.0
