cod_ibge,deng_2010,deng_2011,deng_2012,deng_2013,deng_2014,deng_2015,deng_2016,deng_2017,deng_2018,deng_2019
351360,4,2,9,2,0,14,6,6,4,7
351370,27,25,10,24,103,1272,94,33,9,60
351380,247,352,44,99,841,3996,551,63,63,787
351385,3,0,0,11,5,41,60,3,0,35
351390,3,7,0,2,3,7,3,2,0,3
351400,58,3,4,25,11,68,102,3,3,468
351410,12,4,2,20,82,408,7,2,1,70
351420,16,1,0,19,3,178,128,0,0,39
351440,236,149,31,273,98,1141,77,13,10,951
351450,63,3,0,12,15,77,5,1,0,193
351460,246,183,1,178,41,246,380,2,2,161
351470,1,1,0,1,5,64,2,2,0,28
351480,85,24,3,302,5,5,11,1,3,30
351490,3,14,1,118,54,1001,9,0,0,41
351492,6,4,3,7,8,201,15,8,3,114
351495,4,3,1,12,1,106,9,0,1,173
351500,284,293,55,194,574,1903,418,93,47,282
351510,6,10,4,4,30,110,51,18,41,64
351515,8,15,6,514,17,540,25,0,3,261
351518,26,3,4,8,15,1473,93,13,13,32
351519,3,6,0,3,0,28,4,0,2,18
351520,40,26,7,151,212,1471,32,14,20,359
351535,23,10,3,44,29,96,175,15,3,251
351550,1171,114,16,1810,214,1196,818,32,121,4712
351560,18,0,4,47,1,34,8,1,1,64
351570,39,29,20,40,84,1063,318,12,30,225
351580,1,3,1,57,14,13,5,1,0,1
351590,21,16,2,51,9,19,11,5,1,65
351600,63,1,4,45,88,742,91,1,3,686
351610,1,3,1,1,61,265,1,1,0,196
351620,207,1332,59,462,281,1936,3477,166,220,8821
351630,26,522,593,1023,1532,1391,478,27,16,1235
351640,100,33,89,333,2536,1407,489,3,1,519
351650,22,2,1,10,14,13,28,3,0,37
351660,2,2,0,17,4,289,2,0,1,97
351670,591,17,3,23,35,1446,19,4,2,580
351680,183,4,7,16,14,29,12,3,0,114
351685,5,30,0,5,4,19,12,0,12,334
351690,76,2,1,62,122,56,182,2,14,150
351700,84,0,5,102,15,750,13,2,1,464
351710,43,2,4,27,43,191,35,2,1,149
351720,415,21,1,31,52,413,11,1,3,516
351730,2,5,0,5,1,612,4,0,2,126
351740,152,65,491,2144,54,1347,2697,25,19,2373
351750,125,12,4,165,17,251,317,7,11,1015
351770,196,205,3,980,5,213,28,9,93,389
351780,65,17,16,94,29,122,116,5,17,449
351790,28,108,6,135,2,128,37,5,17,176
351800,8,0,1,26,1,21,4,3,1,57
351810,132,4,0,7,50,283,64,2,1,129
351820,988,9,6,257,505,2564,53,8,39,1207
351830,3,6,1,4,113,227,72,13,5,30
351840,39,595,2764,145,121,1190,40,13,2,199
351860,360,70,1,168,16,569,188,2,8,745
351870,10318,18,56,1735,499,1294,1059,58,49,321
351880,1621,1102,422,2695,5872,25923,1490,409,107,6474
351885,23,7,4,194,4,265,122,16,5,254
351890,22,0,0,4,8,95,20,1,3,63
351900,8,6,0,150,9,121,36,2,0,281
351905,13,40,5,25,82,355,34,10,46,49
351907,1537,1407,181,1720,2188,5858,1313,145,42,1268
351910,51,10,0,18,25,120,35,2,2,197
351920,13,0,0,53,5,90,17,2,0,46
351930,35,71,4,11,15,642,42,1,4,407
351940,86,0,30,73,6,543,170,11,7,943
351950,8,18,0,102,4,267,151,1,1,210
351960,1199,268,332,1084,25,806,2137,43,25,216
351970,2,1,0,6,14,155,92,7,16,35
351980,50,44,41,156,6,244,58,15,10,176
351990,3,5,0,64,4,111,43,0,19,35
352000,10,8,3,9,15,25,8,0,1,47
352010,222,342,96,290,18,11,128,7,107,760
352030,581,627,2,554,8,578,6,7,4,14
352040,1393,79,41,1240,3830,963,162,12,46,198
352042,11,37,3,129,23,220,21,1,4,12
352044,94,27,14,1047,334,637,247,6,293,603
352050,60,137,27,763,322,2303,582,138,28,416
352070,25,9,2,43,7,27,56,0,35,79
352080,13,0,0,11,0,175,1,0,2,65
352090,5,14,0,3,2,312,1,0,0,21
352100,58,228,18,333,413,2552,37,3,2,94
352110,4,27,2,60,11,210,8,2,0,42
352115,130,2,2,95,3,147,111,2,98,325
352120,4,0,0,51,0,1,1,0,0,7
352130,126,204,51,576,17,48,124,1,33,959
352140,49,105,11,53,32,633,13,7,9,151
352150,23,66,2,67,2,184,10,2,1,48
352160,2,4,0,180,46,93,12,0,2,282
352180,2,1,0,1,0,61,0,0,0,2
352190,35,2,3,29,8,119,52,9,34,134
352200,16,0,0,4,7,6,5,0,0,5
352210,196,35,10,203,171,4669,34,13,13,619
352220,57,44,9,45,165,1810,196,19,7,60
352230,25,16,1,22,15,509,33,5,10,119
352240,10,4,2,11,6,210,13,1,0,9
352250,52,189,29,99,625,2550,135,7,4,69
352260,328,18,87,55,731,4598,75,15,4,180
352270,308,45,17,298,183,816,1071,18,9,1093
352290,4,43,0,12,135,142,3,1,4,802
352300,142,0,76,190,26,105,20,1,10,160
352310,52,40,15,113,213,1323,153,19,37,350
352320,1,0,0,1,28,33,4,1,0,1
352330,54,6,6,190,6,628,15,1,3,2
352340,25,46,18,61,93,250,138,20,17,196
352350,2,1,0,1,1,13,4,0,0,103
352360,12,2,0,14,33,713,14,0,0,84
352370,3,3,0,6,0,67,254,3,32,174
352380,7,1,1,2,273,107,4,5,5,10
352390,110,350,58,743,179,1821,3297,8,25,93
352400,5,11,9,24,59,284,25,5,3,106
352410,509,1227,193,1789,14,138,1298,7,35,2040
352420,12,7,1,97,2,73,145,1,1,633
