cod_ibge,deng_2010,deng_2011,deng_2012,deng_2013,deng_2014,deng_2015,deng_2016,deng_2017,deng_2018,deng_2019
350075,0,1,0,7,8,19,4,1,1,5
350310,0,2,0,3,0,6,0,0,0,5
350315,0,1,0,0,0,95,2,1,0,0
350430,0,1,1,47,153,372,1,0,0,152
350630,0,12,0,5,3,66,3,0,1,62
350660,0,3,0,1,5,39,36,4,3,154
350690,0,1,0,1,2,17,43,1,0,2
350730,0,1,1,7,18,34,51,2,1,30
350800,0,1,1,2,0,231,4,0,0,48
350870,0,3,0,3,12,106,14,1,9,7
350995,0,58,13,6,7,78,22,4,2,7
351320,0,17,8,14,3,2,22,5,2,58
351512,0,1,2,48,1,2,13,2,2,11
351540,0,4,0,2,1,156,4,1,0,183
351760,0,1,0,1,6,25,4,1,1,2
351925,0,2,0,5,39,4,0,0,1,23
352020,0,2,1,2,5,135,15,0,2,5
352060,0,11,3,30,0,45,38,0,2,16
352280,0,1,1,1,106,35,1,0,6,10
352700,0,1,0,0,2,124,17,7,9,27
352860,0,1,0,2,0,13,9,0,0,5
353200,0,9,1,5,9,39,11,4,3,12
353215,0,2,0,5,0,13,11,0,0,6
353370,0,1,0,5,6,44,8,0,0,4
353450,0,1,0,4,19,43,5,1,2,18
353657,0,1,0,0,0,19,0,0,0,14
353680,0,1,0,0,5,9,8,1,2,1
353700,0,36,2,34,13,62,18,0,7,106
354110,0,1,0,47,4,23,4,0,1,104
354323,0,1,2,18,1,50,7,2,0,24
354350,0,2,0,0,2,3,2,0,0,1
354550,0,1,2,32,14,25,71,0,4,54
354625,0,6,2,5,0,20,10,0,0,19
354700,0,4,10,25,46,19,6,0,0,94
354820,0,1,0,0,1,12,4,2,6,8
354830,0,1,4,6,0,8,10,1,0,67
354860,0,1,1,2,3,14,2,2,2,1
355050,0,6,1,30,11,327,82,0,5,24
355590,0,1,0,23,1,30,5,0,0,15
355730,0,72,6,6,23,547,8,6,0,325
350910,0,0,12,17,11,27,27,2,49,105
355350,0,0,1,10,2,10,1,1,3,1
350540,0,0,0,12,2,12,12,1,1,1
351430,0,0,0,9,27,28,4,0,1,36
351530,0,0,0,2,33,23,119,1,1,0
351565,0,0,0,2,1,8,1,0,0,10
351850,0,0,0,3,0,13,3,2,0,7
352215,0,0,0,2,0,4,0,0,0,0
352540,0,0,0,19,3,0,3,1,5,150
352750,0,0,0,1,0,17,7,0,0,12
353170,0,0,0,1,5,19,3,2,8,5
353282,0,0,0,1,1,4,0,1,0,0
353380,0,0,0,3,1,2,1,0,0,7
353610,0,0,0,1,0,14,0,0,1,2
354280,0,0,0,1,0,4,0,0,0,1
354300,0,0,0,3,0,7,3,0,0,0
354960,0,0,0,4,16,91,0,0,1,2
355385,0,0,0,1,1,10,1,0,0,3
350715,0,0,0,0,2,3,2,1,0,0
350945,0,0,0,0,3,16,10,0,0,4
354105,0,0,0,0,2,14,1,0,1,1
354325,0,0,0,0,4,13,1,0,1,3
355420,0,0,0,0,3,2,0,0,0,1
351260,0,0,0,0,0,5,0,0,0,2
352170,0,0,0,0,0,29,2,0,1,2
352265,0,0,0,0,0,2,1,0,0,1
354165,0,0,0,0,0,3,1,0,1,1
355120,0,0,0,0,0,2,0,0,0,1
355460,0,0,0,0,0,3,2,0,0,5
