cod_ibge,inc_hosp_circ_media,inc_hosp_resp_media,inc_hosp_calor_media,inc_hosp_circ_max,inc_hosp_resp_max,inc_hosp_calor_max,inc_obit_circ_media,inc_obit_resp_media,inc_obit_calor_media,inc_obit_circ_max,inc_obit_resp_max,inc_obit_calor_max,total_hosp_circ,total_hosp_resp,total_hosp_calor,total_obit_circ,total_obit_resp,total_obit_calor
350590,1010.1238324934909,1069.2236017764433,0,1140.8381380959077,1244.692743778667,0,189.23593377618343,112.60360048629221,0,216.33051398828886,149.08256880733947,0,6032,6378,0,1133,674,0
350600,514.6575765480231,445.22025476559253,0,579.0510256142989,510.2910623936292,0,229.40980161390303,90.2909032767433,0,247.632752248777,102.31455829186805,0,18626,16090,0,8305,3272,0
350610,556.6588005106939,464.5098786088175,0,727.8640288048318,690.4303925036218,0,185.4592359068496,91.23164853815524,0,213.65596241714394,119.597227401911,0,4279,3555,0,1424,701,0
350620,473.83138619080876,1034.301554442477,0,665.4991243432574,2017.094017094017,0,158.13041475808,91.7508235622987,0,222.5519287833828,245.18388791593694,0,135,294,0,45,26,0
350630,1293.7385837055185,1317.2049575747649,0,1651.2059369202227,1777.85759181108,0,283.1130131177099,95.95599659278257,0,343.22820037105754,152.6991826102578,0,1426,1453,0,312,106,0
350635,512.4124499775439,575.9143906920003,0,666.6077269914243,678.2522038558122,0,164.8488166496493,46.51527087707981,0,208.64645035805853,61.2282384635794,0,2860,3178,0,920,258,0
350640,493.90679922505365,824.429032443508,0,702.9419422025513,1531.7454239105462,0,208.69774119711707,96.22529406047902,0,270.5836876691148,127.64545199254552,0,374,613,0,157,73,0
350650,596.4905583477906,758.1121983763522,0,718.1965661754766,886.3390563742057,0,123.50526976415111,97.21059661484733,0,133.39740827892487,118.0866723822773,0,6931,8839,0,1441,1141,0
350660,449.34701819029783,312.95537772030144,0,559.8716698644356,405.76139201342653,0,161.33691431214416,88.86948553603803,0,208.614160087297,114.36195558944058,0,1389,959,0,497,272,0
350670,647.6314800675303,679.2696704483102,0,769.0232056125202,866.8414918414918,0,204.02953591635858,89.06506918581645,0,254.64048783756616,130.62010174618453,0,930,972,0,294,128,0
350680,660.559743778033,1069.507647893101,0,847.1645919778699,1445.8958660271571,0,180.9601684533444,95.89538843010614,0,256.60764690787784,145.9972422743126,0,767,1240,0,209,112,0
350690,711.1267130960993,424.14076837623327,0,823.6518120339865,579.7643538432766,0,201.3299470484672,78.69859114291462,0,298.39949362510174,117.55131567049462,0,764,452,0,216,85,0
350700,590.1612817579495,617.0793526651552,0,755.6525188417295,937.5316391616888,0,164.75709933627166,74.51174254557378,0,206.5404475043029,99.22041105598865,0,3211,3337,0,902,409,0
350710,481.44517602808435,538.8133768836581,0,652.3105941527822,755.700325732899,0,191.494283363648,84.35279455269577,0,229.49426264343393,111.25084647383187,0,1100,1224,0,432,190,0
350715,569.5675243791419,776.5201613497323,0,834.5978755690439,1157.4074074074074,0,179.58329546043998,99.46051424766928,0,358.8186585702457,180.0411522633745,0,217,293,0,68,38,0
350720,859.8290471368547,1024.9880104251115,0,1911.5890083632019,2031.0633213859019,0,145.01174955519767,96.15023716042737,0,358.85167464114835,358.42293906810033,0,71,85,0,12,8,0
