cod_ibge,nome_municipio,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_mean
350570,Barueri,240809.58,243242,245652,256756,259555,262275,264935,267534,271306,274182,258624.658
350580,Bastos,20230.65,20435,20424,21061,21064,21067,21070,21073,20954,20953,20833.165
350590,Batatais,56319.12,56888,57286,59654,60128,60589,61040,61480,62024,62508,59791.612
350600,Bauru,342616.23,346077,348146,362062,364562,366992,369368,371690,374272,376818,362260.323
350610,Bebedouro,74301.48,75052,75069,77487,77558,77627,77695,77761,77436,77496,76748.24799999999
350620,Bento de Abreu,2669.04,2696,2717,2831,2855,2879,2902,2925,2955,2980,2840.904
350630,Bernardino de Campos,10672.2,10780,10784,11133,11146,11157,11169,11180,11137,11148,11030.619999999999
350635,Bertioga,48507.03,48997,50304,53679,55138,56555,57942,59297,61736,63249,55540.403000000006
350640,Bilac,7050.78,7122,7193,7519,7602,7682,7761,7837,7949,8034,7574.978
350650,Birigui,108737.64,109836,110907,115898,117143,118352,119536,120692,122359,123638,116709.86400000002
350660,Biritiba Mirim,28588.23,28877,29168,30492,30830,31158,31479,31793,32251,32598,30723.423
350670,Boa Esperança do Sul,13590.72,13728,13807,14356,14452,14546,14638,14727,14824,14923,14359.172
350680,Bocaina,10858.32,10968,11073,11568,11691,11810,11926,12040,12204,12329,11646.732
350690,Bofete,9694.08,9792,9960,10504,10694,10879,11059,11236,11534,11730,10708.208
350700,Boituva,48891.15,49385,50420,53431,54594,55725,56830,57910,59793,60997,54797.615000000005
350710,Bom Jesus dos Perdões,19997.01,20199,20674,21976,22508,23025,23530,24023,24898,25448,22627.801
350715,Bom Sucesso de Itararé,3562.02,3598,3623,3772,3802,3831,3860,3888,3923,3954,3781.3020000000006
350720,Borá,797.9399999999999,806,807,834,835,836,838,839,836,837,826.594
350730,Boracéia,4265.91,4309,4348,4540,4586,4631,4675,4717,4776,4823,4567.091
350740,Borborema,14485.68,14632,14731,15335,15454,15569,15681,15791,15925,16046,15364.967999999999
350745,Borebi,2297.79,2321,2348,2458,2489,2519,2548,2577,2621,2653,2483.179
350750,Botucatu,127501.11,128789,130201,136269,137899,139483,141032,142546,144820,146497,137503.71099999998
350760,Bragança Paulista,146926.88999999998,148411,150023,156995,158856,160665,162435,164163,166753,168668,158389.589
350770,Braúna,5019.3,5070,5118,5345,5400,5454,5506,5557,5630,5686,5378.530000000001
350775,Brejo Alegre,2568.06,2594,2614,2723,2746,2768,2790,2812,2841,2865,2732.1059999999998
350780,Brodowski,21197.88,21412,21707,22797,23134,23460,23780,24092,24592,24939,23111.088
350790,Brotas,21569.13,21787,21987,22959,23192,23419,23641,23858,24163,24403,23097.813000000002
350800,Buri,18448.65,18635,18705,19395,19484,19570,19655,19737,19789,19878,19329.665
350810,Buritama,15383.61,15539,15655,16312,16449,16583,16714,16841,17003,17144,16362.360999999999
350820,Buritizal,4042.17,4083,4111,4279,4313,4345,4377,4408,4447,4481,4288.617
350830,Cabrália Paulista,4299.57,4343,4322,4430,4410,4390,4371,4352,4286,4264,4346.757
350840,Cabreúva,41834.43,42257,42889,45112,45830,46528,47210,47877,48966,49707,45821.043
350850,Caçapava,84559.86,85414,86054,89668,90426,91162,91883,92587,93488,94263,89950.486
350860,Cachoeira Paulista,30009.87,30313,30527,31791,32046,32294,32536,32773,33067,33327,31868.387
350870,Caconde,18365.49,18551,18563,18926,18952,18976,19001,19025,18961,18985,18830.549
350880,Cafelândia,16503.3,16670,16730,17346,17424,17499,17573,17645,17689,17767,17284.629999999997
350890,Caiabu,4031.2799999999997,4072,4072,4201,4204,4206,4208,4211,4190,4191,4158.628
350900,Caieiras,86826.96,87704,88841,93215,94516,95780,97016,98223,100129,101470,94372.09599999999
