"cod_ibge","nome_municipio","cod_microrregiao","nome_microrregiao","cod_mesorregiao","nome_mesorregiao","persist_dengue","persist_leishmaniose","persist_leptospirose","persist_malaria","incidence_mean_dengue","incidence_mean_leishmaniose","incidence_mean_leptospirose","incidence_mean_malaria","incidence_max_dengue","incidence_max_leishmaniose","incidence_max_leptospirose","incidence_max_malaria","total_cases_dengue","total_cases_leishmaniose","total_cases_leptospirose","total_cases_malaria","copresence_years","copresence_3plus","copresence_all4","dengue_leptospirose","dengue_malaria","dengue_leishmaniose","leptospirose_malaria","leptospirose_leishmaniose","malaria_leishmaniose"
"350220","Angatuba",35042,"Itapetininga",3511,"Itapetininga",9,6,7,0,159.392855135221,3.34725074973266,5.81024184257804,0,885.724928603948,12.5433791863528,15.8553987632789,0,387,8,14,0,9,3,0,6,0,6,0,3,0
"350230","Anhembi",35023,"Botucatu",3504,"Bauru",7,2,4,0,217.666806227193,3.09451829793646,6.76240900818414,0,1839.22625654035,15.8553987632789,17.6006448876287,0,137,2,4,0,4,0,0,2,0,2,0,0,0
"350240","Anhumas",35036,"Presidente Prudente",3508,"Presidente Prudente",5,1,3,0,551.108452737274,2.43013365735115,10.4977054169187,0,2550.63765941485,24.3013365735115,53.134962805526,0,221,1,4,0,3,0,0,2,0,1,0,0,0
"350250","Aparecida",35051,"Guaratinguetá",3513,"Vale do Paraíba Paulista",10,8,8,1,670.537167870923,4.44926108079637,6.96723924548486,0.553571922832074,4243.86337907612,8.30357884248111,14.4238327873913,5.53571922832074,2410,16,25,2,10,6,1,8,1,8,1,6,1
"350260","Aparecida d'Oeste",35001,"Jales",3501,"São José do Rio Preto",10,3,0,3,1407.21777583243,9.08090840889772,0,18.6751667403838,5185.35365021606,45.3206435531385,0,141.709966934341,616,4,0,8,5,1,0,0,3,3,0,0,1
"350270","Apiaí",35044,"Capão Bonito",3511,"Itapetininga",5,7,6,3,18.3250030531997,4.83531216913001,4.41782397607233,1.2059801340135,111.062631391059,16.4109296791663,16.4109296791663,4.03394972085068,46,12,11,3,6,5,0,4,1,5,0,5,1
"350275","Araçariguama",35046,"Sorocaba",3512,"Macro Metropolitana Paulista",8,2,10,2,155.494791237427,1.00347543451638,13.0880381937574,1.05137883483654,1168.34045938153,5.56328233657858,28.8024240120048,5.76048480240097,314,2,25,2,9,3,0,8,2,1,2,2,0
"350280","Araçatuba",35017,"Araçatuba",3503,"Araçatuba",10,10,7,9,1378.46801186797,10.5439738039266,0.678358666239739,0.79488848500512,6734.89217587045,25.0160817668501,2.05260835206338,1.54776399694575,25884,203,13,15,10,10,6,7,9,10,6,7,9
"350290","Araçoiaba da Serra",35046,"Sorocaba",3512,"Macro Metropolitana Paulista",10,6,9,0,237.929905108118,2.4947037936205,7.36324813947255,0,1605.95127869481,6.15479304508386,12.7709843236167,0,739,8,23,0,9,6,0,9,0,6,0,6,0
"350300","Aramina",35011,"Ituverava",3502,"Ribeirão Preto",10,1,1,0,1781.79749062225,1.822821728035,1.9492493440776,0,4608.5409252669,18.22821728035,19.492493440776,0,961,1,1,0,2,0,0,1,0,1,0,0,0
"350320","Araraquara",35024,"Araraquara",3505,"Araraquara",10,7,10,5,1682.45094299174,0.7223498708811,2.79862936851888,0.410273435168381,9876.22420278559,1.74929153692754,4.33331888893704,1.41098783258159,38754,16,63,9,10,8,4,10,5,7,5,7,4
"350330","Araras",35027,"Limeira",3506,"Piracicaba",10,4,10,2,453.916138264049,0.318882809045221,14.8618718975218,0.162529995472457,2127.31292912836,0.841975368515779,33.0991319000406,0.841975368515779,5814,4,192,2,10,5,1,10,2,4,2,4,1
"350335","Arco-Íris",35037,"Tupã",3509,"Marília",7,1,2,0,557.880002509679,5.24383848977452,10.5338334916552,0,2010.05025125628,52.4383848977452,53.3902829684997,0,104,1,2,0,2,0,0,2,0,0,0,0,0
"350340","Arealva",35020,"Bauru",3504,"Bauru",8,0,1,0,747.810270897523,0,1.21285627653123,0,4310.86097473356,0,12.1285627653123,0,629,0,1,0,1,0,0,1,0,0,0,0,0
"350350","Areias",35052,"Bananal",3513,"Vale do Paraíba Paulista",9,2,2,0,150.787778412983,5.2746708179932,5.30462902900042,0,599.114352696015,26.9469145782808,26.9978401727862,0,58,2,2,0,3,0,0,2,0,1,0,0,0
"350360","Areiópolis",35020,"Bauru",3504,"Bauru",8,1,3,0,438.165980181269,0.905059281382931,2.75644820160028,0,4172.32328717531,9.05059281382931,9.52835591077266,0,484,1,3,0,3,1,0,3,0,1,0,1,0
"350370","Ariranha",35005,"Catanduva",3501,"São José do Rio Preto",10,1,7,0,562.167490579799,1.07793467715856,9.73929227075044,0,2382.23563652043,10.7793467715856,21.9901044529962,0,509,1,9,0,7,1,0,7,0,1,0,1,0
"350380","Artur Nogueira",35031,"Mogi Mirim",3507,"Campinas",10,4,10,0,472.742086987733,0.841882169376573,10.4183613512658,0,1952.39422043546,2.2209390130147,22.4337274041889,0,2344,4,51,0,10,4,0,10,0,4,0,4,0
"350390","Arujá",35059,"Guarulhos",3515,"Metropolitana de São Paulo",10,3,10,1,379.329712222779,0.376487154187747,15.1504320885715,0.265424902801401,1813.22150609371,1.31385326886693,55.7392295882941,2.65424902801401,3189,3,121,2,10,4,0,10,1,3,1,3,0
"350395","Aspásia",35001,"Jales",3501,"São José do Rio Preto",8,1,1,0,543.156083118597,5.54938956714761,5.5930288488428,0,2705.62770562771,55.4938956714761,55.930288488428,0,100,1,1,0,1,0,0,1,0,0,0,0,0
"350400","Assis",35039,"Assis",3510,"Assis",10,6,10,3,1031.66039487896,1.08240590350224,24.4888369629399,0.521342285149378,4692.06767916376,2.87394861379879,44.5937509290365,3.11410064773293,10460,11,245,5,10,8,1,10,3,6,3,6,1
"350410","Atibaia",35048,"Bragança Paulista",3512,"Macro Metropolitana Paulista",10,9,10,4,247.528878364734,2.56413542658502,13.8791306598659,0.462227771278601,1002.24437985209,8.74718449998907,44.6086180719686,1.58102491837564,3391,35,184,6,10,9,4,10,4,9,4,9,4
