cod_ibge,ano,n_focos,frp_sum,frp_mean,frp_max,frp_std
350010,2010,4,1202.2,300.55,650.3,254.65155932502486
350010,2011,2,96.4,48.2,57.2,12.727922061357855
350010,2012,1,13.6,13.6,13.6,
350010,2013,1,5.9,5.9,5.9,
350010,2014,3,95.3,31.766666666666666,45.5,22.840826021257055
350010,2015,1,5.2,5.2,5.2,
350010,2018,2,22.4,11.2,14.9,5.232590180780453
350010,2019,16,1368.4,85.525,465.7,114.0382128937489
350020,2010,1,33.6,33.6,33.6,
350020,2011,2,105.19999999999999,52.599999999999994,85.1,45.961940777125584
350020,2012,1,6.9,6.9,6.9,
350020,2014,3,255.7,85.23333333333333,134.5,51.143360598745694
350020,2015,1,17.8,17.8,17.8,
350030,2010,39,1131.8,29.02051282051282,169.8,31.824569947788348
350030,2011,18,653.6,36.31111111111111,185.1,42.876099044584805
350030,2012,17,665.8,39.16470588235294,100.6,29.313754049431953
350030,2013,25,775.5,31.02,111.3,29.55964309662754
350030,2014,27,2246.9,83.21851851851852,484.7,107.49408941546162
350030,2015,5,227.9,45.58,117.2,51.18273146286744
350030,2016,13,393.9,30.299999999999997,73.7,18.71990918781392
350030,2017,16,370.2,23.1375,66.5,17.580476861185154
350030,2018,14,364.4,26.02857142857143,79.3,17.837748589025313
350030,2019,6,230.6,38.43333333333333,79.8,32.79815035435179
350040,2010,5,281.7,56.339999999999996,102.4,43.221672804277254
350040,2011,2,22.7,11.35,14.1,3.8890872965260113
350040,2014,1,25.1,25.1,25.1,
350040,2015,1,13.5,13.5,13.5,
350040,2018,5,95.7,19.14,49.9,17.796713179685735
350040,2019,1,8.7,8.7,8.7,
350050,2010,5,123.80000000000001,24.76,53.7,17.31943994475572
350050,2013,1,6.6,6.6,6.6,
350050,2014,3,82.4,27.46666666666667,49.6,21.091546489845957
350050,2018,2,29.5,14.75,24.3,13.50573952066306
350050,2019,3,31.2,10.4,13.5,2.6888659319497505
350055,2010,29,741.8,25.579310344827583,100.2,18.116002777937695
350055,2011,17,888.6,52.27058823529412,168.1,41.667039802250805
350055,2012,3,96.9,32.300000000000004,35.0,2.455605831561736
350055,2013,5,126.6,25.32,38.0,12.829925954579783
350055,2014,9,686.8000000000001,76.31111111111112,328.3,101.09018800611221
350055,2015,2,23.6,11.8,12.8,1.4142135623730951
350055,2016,6,367.9,61.31666666666666,113.3,36.1157260298982
350055,2017,6,173.8,28.96666666666667,81.5,26.470940041235156
350055,2018,12,1162.7,96.89166666666667,356.2,102.07324872884475
350055,2019,11,1433.8,130.34545454545454,368.5,116.91587029686231
350070,2010,11,260.8,23.70909090909091,83.1,21.164236558187234
350070,2011,19,962.6,50.66315789473684,292.5,63.67415497433716
350070,2012,5,205.6,41.12,127.7,48.96077001028477
350070,2013,4,87.3,21.825,36.8,12.71806458022079
350070,2014,9,347.2,38.577777777777776,111.7,37.788251407606104
350070,2015,5,72.2,14.440000000000001,19.6,3.5592133962436154
350070,2016,16,652.6,40.7875,150.6,40.01647785600327
350070,2017,4,69.6,17.4,29.3,12.316114105782987
350070,2018,10,276.59999999999997,27.659999999999997,79.6,23.07943769775261
350070,2019,8,249.70000000000002,31.212500000000002,96.7,36.19764939092829
350075,2010,1,9.5,9.5,9.5,
350075,2011,5,58.1,11.620000000000001,18.5,4.318796128552493
350075,2014,2,20.2,10.1,13.0,4.1012193308819755
350075,2015,1,24.9,24.9,24.9,
350075,2016,3,46.8,15.6,18.8,2.787471972953271
350075,2017,1,13.8,13.8,13.8,
350075,2018,2,167.0,83.5,115.2,44.83056992722712
350080,2015,1,16.1,16.1,16.1,
350090,2010,28,2864.1,102.28928571428571,370.0,106.11603830079639
350090,2011,13,549.1,42.23846153846154,219.4,63.63918523548127
350090,2012,1,20.9,20.9,20.9,
350090,2013,5,330.2,66.03999999999999,121.2,47.70605831548023
350090,2014,17,3756.4,220.96470588235294,887.9,250.28367141399895
350090,2015,4,185.2,46.3,63.3,16.168281706270868
350090,2017,13,1041.8,80.13846153846154,199.4,56.662164602456706
350090,2018,6,733.7,122.28333333333335,209.3,81.81841887171046
350100,2010,27,1306.1,48.37407407407407,357.9,68.08496158699066
350100,2011,10,901.9,90.19,277.1,81.0944778226812
350100,2012,20,642.7,32.135000000000005,136.2,30.537264121070177
350100,2013,19,695.9,36.626315789473686,95.9,21.4240218784964
350100,2014,16,444.3,27.76875,76.7,20.745625040796753
350100,2015,3,59.1,19.7,30.3,12.24254875424231
350100,2016,3,105.69999999999999,35.23333333333333,50.3,13.051564401761702
350100,2017,13,1188.0,91.38461538461539,475.0,130.2424140219169
350100,2018,12,380.4,31.7,121.5,30.55120887356773
350100,2019,14,378.1,27.00714285714286,95.5,22.944061215376518
350110,2010,1,4.9,4.9,4.9,
350110,2011,1,12.0,12.0,12.0,
350110,2012,1,15.7,15.7,15.7,
350110,2013,4,157.5,39.375,56.4,19.091075576474644
350110,2015,3,49.599999999999994,16.53333333333333,20.5,6.35793467513888
350110,2016,9,647.0,71.88888888888889,146.8,51.453314869997556
350110,2018,2,59.9,29.95,38.5,12.091525958289964
350110,2019,3,89.0,29.666666666666668,61.0,27.727663683284486
350115,2010,6,47.6,7.933333333333334,9.5,1.7374310537879387
350115,2011,2,23.3,11.65,19.7,11.384419177103414
350115,2012,8,312.8,39.1,94.9,36.29017970273973
350115,2013,3,56.3,18.766666666666666,20.3,2.318045153428494
350115,2014,6,150.2,25.03333333333333,40.9,14.450836192645275
350115,2015,1,10.6,10.6,10.6,
350115,2016,1,31.3,31.3,31.3,
350115,2017,4,67.3,16.825,25.1,7.000654731285257
350115,2018,7,120.3,17.185714285714287,28.4,9.084864440637618
350120,2010,22,2128.5,96.75,827.5,170.60743508054364
350120,2011,2,36.1,18.05,25.8,10.960155108391486
350120,2012,3,80.8,26.933333333333334,38.1,9.676948554856192
350120,2013,7,140.4,20.057142857142857,38.8,9.359639797708944
350120,2014,10,722.1,72.21000000000001,124.0,43.75937867728725
350120,2015,5,433.5,86.7,199.0,100.61846252055335
350120,2017,5,152.0,30.4,65.6,21.481969183480363
350120,2018,1,16.8,16.8,16.8,
350120,2019,6,360.1,60.01666666666667,244.8,93.60921785095027
350130,2010,1,33.0,33.0,33.0,
350130,2011,1,108.9,108.9,108.9,
350130,2015,2,23.4,11.7,12.6,1.2727922061357841
350130,2016,1,7.2,7.2,7.2,
350130,2017,1,16.3,16.3,16.3,
350130,2018,1,27.9,27.9,27.9,
350140,2010,3,83.6,27.866666666666664,44.3,16.063727255320707
350140,2014,1,29.4,29.4,29.4,
350140,2016,4,101.0,25.25,44.0,15.610786868914284
350160,2010,5,50.8,10.16,14.1,3.908708226511669
350160,2011,3,46.5,15.5,22.3,7.534586916347836
350160,2012,8,137.3,17.1625,27.9,8.322248580075664
350160,2013,3,85.5,28.5,35.9,8.252878285786117
350160,2014,2,32.9,16.45,22.2,8.131727983645296
350160,2016,2,28.3,14.15,22.6,11.950104602052653
350160,2017,11,213.7,19.427272727272726,46.8,15.27645841869711
350160,2018,3,57.599999999999994,19.2,41.4,19.374983870961028
350160,2019,7,129.3,18.47142857142857,40.1,12.98213057574581
350170,2010,6,340.09999999999997,56.68333333333333,168.0,58.14459275518805
350170,2012,2,160.0,80.0,97.2,24.32447327281724
350170,2013,3,37.3,12.433333333333332,19.7,6.518691075157139
350170,2014,2,303.1,151.55,245.0,132.15825740376573
350170,2016,4,205.89999999999998,51.474999999999994,72.7,23.942204716079655
350170,2017,8,522.4,65.3,133.8,45.29862817222741
350170,2018,1,26.2,26.2,26.2,
350170,2019,1,14.5,14.5,14.5,
350180,2010,11,723.8,65.8,204.1,66.7653053613926
350180,2012,9,1790.4,198.93333333333334,522.2,169.40367469450007
350180,2014,6,186.3,31.05,56.1,16.37079717057175
350180,2016,1,24.3,24.3,24.3,
350180,2017,16,2685.3,167.83125,631.8,211.15949333383048
350190,2010,47,1712.4,36.43404255319149,279.7,51.36074154870559
350190,2011,15,567.4,37.82666666666667,104.8,31.1641155054671
350190,2012,9,519.0,57.666666666666664,156.1,49.051095808350695
350190,2013,2,16.6,8.3,9.2,1.2727922061357855
350190,2014,19,465.3,24.489473684210527,115.4,24.940927870489016
350190,2015,7,221.4,31.62857142857143,95.3,34.134230828974516
350190,2016,7,260.1,37.15714285714286,69.9,20.900148096991813
350190,2017,30,1308.1000000000001,43.60333333333334,247.5,58.175942908846196
350190,2018,6,77.6,12.933333333333332,21.7,6.3006877931434335
350190,2019,4,74.8,18.7,25.3,6.6307365101221345
350200,2010,12,506.4,42.199999999999996,119.9,30.759152370399526
350200,2011,20,632.3,31.615,63.5,19.330349058846352
350200,2012,2,12.7,6.35,7.1,1.0606601717798212
350200,2013,17,420.3,24.723529411764705,70.2,19.80434073037287
350200,2014,3,47.0,15.666666666666666,37.1,18.57318856129268
350200,2016,8,229.6,28.7,58.6,18.822327167489146
350200,2017,2,41.9,20.95,25.9,7.00035713374682
350200,2018,1,9.0,9.0,9.0,
350200,2019,12,207.7,17.308333333333334,31.4,7.874638038819577
350210,2010,46,4970.5,108.05434782608695,769.3,179.60562934325702
350210,2011,31,2935.5,94.69354838709677,516.9,125.39415439720165
350210,2012,9,633.3000000000001,70.36666666666667,276.1,91.21295138301359
350210,2013,25,1145.3,45.812,132.3,37.74575384507949
350210,2014,8,2009.5,251.1875,869.9,318.8166846212054
350210,2015,15,587.9,39.193333333333335,237.7,58.06366538632604
350210,2016,1,19.2,19.2,19.2,
350210,2017,14,5222.4,373.0285714285714,1472.5,475.18372062987214
350210,2018,20,1884.7,94.235,456.3,132.30357943600376
350210,2019,10,374.6,37.46,110.5,33.66353780840299
350220,2010,10,154.0,15.4,39.0,12.805120503576337
350220,2011,9,620.7,68.96666666666667,429.6,136.82437648313987
350220,2012,10,288.2,28.82,70.7,20.964986684151906
350220,2013,2,30.0,15.0,15.6,0.8485281374238566
350220,2014,7,582.7,83.24285714285715,254.2,100.03702409846161
350220,2016,8,103.6,12.95,22.7,5.6830575271716945
350220,2017,2,18.1,9.05,11.5,3.4648232278140823
350220,2018,4,44.1,11.025,18.5,6.13589167657535
350220,2019,4,111.9,27.975,56.9,19.54880644267914
350230,2011,7,229.79999999999998,32.82857142857143,48.9,17.54486765274623
350230,2012,12,1613.4,134.45000000000002,502.5,132.12588006071402
350230,2013,1,21.8,21.8,21.8,
350230,2014,4,96.7,24.175,46.1,17.804002359020288
350230,2015,1,11.2,11.2,11.2,
350230,2016,6,127.4,21.233333333333334,45.4,15.441329821834216
350230,2018,1,11.7,11.7,11.7,
350240,2010,4,80.0,20.0,34.3,9.978977903573089
350240,2016,6,982.1,163.68333333333334,582.7,233.4167039152654
350240,2019,3,37.4,12.466666666666667,25.7,11.461384442262347
350250,2010,2,154.7,77.35,81.6,6.010407640085654
350250,2011,2,23.3,11.65,20.3,12.232947314527273
350250,2014,2,19.200000000000003,9.600000000000001,12.3,3.818376618407356
350250,2015,1,35.6,35.6,35.6,
350250,2016,2,24.9,12.45,14.7,3.181980515339464
350250,2017,2,26.5,13.25,16.4,4.4547727214752495
350250,2018,1,8.6,8.6,8.6,
350250,2019,4,74.1,18.525,25.3,4.6342025563556595
350260,2010,1,20.1,20.1,20.1,
350260,2012,2,25.0,12.5,13.0,0.7071067811865476
350260,2013,7,71.9,10.271428571428572,15.3,4.1700177000880485
350260,2015,1,12.3,12.3,12.3,
350260,2016,1,10.0,10.0,10.0,
350260,2017,2,33.2,16.6,20.2,5.091168824543143
350260,2018,1,17.1,17.1,17.1,
350270,2010,9,358.7,39.855555555555554,153.7,57.60343112851679
350270,2011,6,259.59999999999997,43.26666666666666,190.5,72.29148405356378
350270,2012,8,89.9,11.2375,16.8,5.438208081974902
350270,2013,8,84.9,10.6125,23.0,6.161502020031896
350270,2014,3,26.0,8.666666666666666,10.9,3.043572462310259
350270,2015,6,86.10000000000001,14.350000000000001,38.7,12.372186548868394
350270,2016,14,276.5,19.75,55.0,15.489984357145604
350270,2017,8,104.5,13.0625,31.3,9.498862713880166
350270,2019,6,66.4,11.066666666666668,17.6,4.5981155560366975
350275,2010,9,201.9,22.433333333333334,58.4,18.278744486424664
350275,2011,19,615.1,32.373684210526314,149.3,35.44747040191637
350275,2012,2,55.4,27.7,32.4,6.646803743153546
350275,2013,3,45.2,15.066666666666668,25.6,9.572007800526144
350275,2014,16,556.2,34.7625,89.9,23.95965706488027
350275,2015,1,7.7,7.7,7.7,
350275,2016,4,26.4,6.6,7.6,1.2987173159185441
350275,2017,6,79.4,13.233333333333334,22.7,5.755577005537035
350275,2018,5,46.5,9.3,12.6,2.960574268617493
350275,2019,12,210.4,17.533333333333335,40.9,9.728620693914456
350280,2010,39,3763.9,96.51025641025642,833.4,167.94683493808986
350280,2011,53,8268.8,156.01509433962264,1013.6,215.66272314054368
350280,2012,6,366.3,61.050000000000004,118.7,34.209048510591465
350280,2013,29,2256.7,77.81724137931033,480.6,117.45154036867872
350280,2014,27,1465.0,54.25925925925926,222.0,57.43046135752256
350280,2015,18,1255.5,69.75,489.0,113.66751437209055
350280,2016,6,590.5999999999999,98.43333333333332,274.4,108.65844958707383
350280,2017,13,983.2,75.63076923076923,277.1,77.21838495047002
350280,2018,25,5051.5,202.06,2037.7,486.8733836087846
350280,2019,4,74.1,18.525,28.5,10.162799811075685
350290,2010,2,34.8,17.4,19.4,2.828427124746188
350290,2011,1,21.3,21.3,21.3,
350290,2012,2,46.8,23.4,35.8,17.536248173426376
350290,2013,1,7.9,7.9,7.9,
350290,2014,4,51.4,12.85,19.9,7.286745958702462
350290,2016,3,27.5,9.166666666666666,11.4,1.934769581457527
350290,2017,4,86.89999999999999,21.724999999999998,46.9,17.23453412966729
350290,2018,3,48.9,16.3,20.7,4.450842616853576
350290,2019,3,98.69999999999999,32.9,59.4,25.342651794948374
350300,2010,10,407.0,40.7,94.0,34.372437278209475
350300,2011,3,156.1,52.03333333333333,87.0,39.300169634918035
350300,2012,2,70.8,35.4,48.1,17.96051224213831
350300,2013,2,173.7,86.85,155.2,96.66149698820104
350300,2014,10,954.8,95.47999999999999,186.6,58.43761726072608
350300,2015,11,827.7,75.24545454545455,216.5,58.99775188320931
350300,2016,8,206.0,25.75,59.1,13.641952101618637
350300,2017,15,1714.7,114.31333333333333,464.4,141.7601387992441
350300,2018,4,68.5,17.125,30.1,9.281657538751722
350300,2019,37,2316.7,62.61351351351351,250.2,55.31164314923095
350310,2010,4,890.3,222.575,547.0,259.93323982643443
350310,2011,8,168.20000000000002,21.025000000000002,47.5,12.833076682653195
350310,2012,2,43.7,21.85,25.1,4.596194077712559
350310,2013,5,123.8,24.759999999999998,69.1,26.00313442644944
350310,2014,1,5.3,5.3,5.3,
350310,2015,3,330.1,110.03333333333335,215.4,102.43780226719691
350310,2018,1,14.7,14.7,14.7,
350310,2019,6,196.29999999999998,32.71666666666666,82.3,25.15316414820741
350315,2010,2,12.5,6.25,6.4,0.21213203435596475
350315,2011,5,148.8,29.76,54.2,14.29643312158666
350315,2012,1,22.2,22.2,22.2,
350315,2014,5,163.39999999999998,32.67999999999999,59.9,21.707993919291578
350315,2017,2,150.3,75.15,80.1,7.00035713374682
350315,2018,1,36.9,36.9,36.9,
350320,2010,77,4838.1,62.83246753246754,604.2,100.86576989867386
