y_variable,x_variable,tipo_x,n_obs,n_grupos,coef_x,pvalue_x,coef_vuln,pvalue_vuln,coef_interaccion,pvalue_interaccion,var_grupo,aic
idx_carga_enfermedad,idx_gobernanza,gobernanza,645,15,0.1293763437925732,0.0020243423215969836,-0.00833552663473919,0.8339685784846598,-0.04000760988390485,0.3006718126800624,0.2491716491013844,
idx_carga_enfermedad,UAI_env,gobernanza,645,15,0.06500705074655116,0.07090573533771626,-0.03333428723133907,0.357970290649144,-0.012906399117542114,0.7114553306243196,0.2302029652179933,
idx_carga_enfermedad,UAI_Crisk,gobernanza,645,15,0.03464838350598967,0.38266497774857144,-0.04074300928791716,0.26628462306398537,-0.012483247529973453,0.7515843507065987,0.23393254850787484,
idx_carga_enfermedad,idx_biodiv,biodiversidad,645,15,-0.19059275703897977,0.00024409485191989412,-0.04597257430606719,0.18752135001537096,0.03737604313328236,0.2760144609528298,0.15632012705755455,
idx_carga_enfermedad,forest_cover,biodiversidad,645,15,0.08006304517964806,0.1328755894970107,-0.07535454929266217,0.03065178199212413,0.1292862452167925,5.955449245472661e-06,0.2619267112934646,
idx_carga_enfermedad,mean_species_richness,biodiversidad,645,15,-0.19059275703897977,0.00024409485191989412,-0.04597257430606715,0.1875213500153714,0.037376043133282404,0.27601446095282944,0.15632012705755455,
idx_clima,idx_gobernanza,gobernanza,645,15,0.0986715579696162,0.016648917134051016,-0.20991578588359988,6.011399944182149e-08,-0.09108109155006643,0.015703080765099214,0.24777083036113384,
idx_clima,UAI_env,gobernanza,645,15,0.036627927642553175,0.29550398133007205,-0.2278393372307289,9.757747042334146e-11,-0.07555042279749442,0.02571493252098952,0.2720944910345777,
idx_clima,UAI_Crisk,gobernanza,645,15,0.12013682899375701,0.0019152659926055117,-0.20051228618833283,1.541652862006027e-08,-0.015132503059382922,0.6915244824769429,0.23206365971798637,
idx_clima,idx_biodiv,biodiversidad,645,15,0.14524293426316445,0.0048725352269473965,-0.2252947718169225,4.0846505186223144e-11,-0.007345974302594618,0.8270662903264472,0.22313722814009324,
idx_clima,forest_cover,biodiversidad,645,15,0.21838318404468746,3.2977704379474106e-05,-0.2524558401052399,2.6327985386963025e-13,-0.023714016169228226,0.400515918451001,0.14754448722013697,
idx_clima,mean_species_richness,biodiversidad,645,15,0.14524293426117907,0.004872535227696539,-0.22529477181689883,4.084650518515562e-11,-0.007345974302975077,0.8270662903175396,0.22313722816192832,
incidence_mean_dengue,idx_gobernanza,gobernanza,645,15,0.09328230267007823,0.016505732001142817,-0.12129498035215368,0.0009942948822913539,-0.08800914585456525,0.013951907742411923,0.34244745664147397,
incidence_mean_dengue,UAI_env,gobernanza,645,15,0.02621047464737695,0.4332077672369775,-0.13587795404132444,5.4990342515362014e-05,-0.04108962420795616,0.20472093266830582,0.3172369240055617,
incidence_mean_dengue,UAI_Crisk,gobernanza,645,15,0.022772986047082208,0.5369727471653889,-0.13587797500401705,6.428410686776035e-05,-0.039525645307617444,0.27961378977687623,0.3244269871097719,
incidence_mean_dengue,idx_biodiv,biodiversidad,645,15,-0.23075933559057993,2.2657304097454494e-06,-0.14332993935895597,8.828172546203424e-06,-0.01711383678594899,0.5897988865485944,0.2179736986633611,
incidence_mean_dengue,forest_cover,biodiversidad,645,15,-0.026540806455835054,0.6024475130491016,-0.13190390899031548,6.62661121448434e-05,-0.012239021479601755,0.651355319174004,0.3017336762730146,
incidence_mean_dengue,mean_species_richness,biodiversidad,645,15,-0.2307593355905798,2.2657304097454905e-06,-0.14332993935895597,8.828172546203424e-06,-0.01711383678594896,0.5897988865485949,0.2179736986633611,
incidence_diarrhea_mean,idx_gobernanza,gobernanza,645,15,-0.06000067318817806,0.19868551436187876,-0.1277930843589686,0.0037138316449336116,0.08803422116684696,0.04003593254583575,0.1341557926925811,
incidence_diarrhea_mean,UAI_env,gobernanza,645,15,-0.00442138839421198,0.911441299488215,-0.11587920247612778,0.0038775762060737837,0.07383991468563872,0.05551860550421826,0.13870486585466163,
incidence_diarrhea_mean,UAI_Crisk,gobernanza,645,15,-0.01418914732942064,0.74679455637398,-0.11863356153676549,0.003281363608268875,0.08477089899317672,0.05072365929445316,0.14032605647687144,
incidence_diarrhea_mean,idx_biodiv,biodiversidad,645,15,-0.18145493055736708,0.002714476416250974,-0.12030873089391642,0.0019317413369194106,0.028393534831622724,0.45478666053949546,0.061890256772912766,
incidence_diarrhea_mean,forest_cover,biodiversidad,645,15,-0.11102183409420817,0.04856639053476213,-0.11366794235757992,0.0041393581897591625,0.03800080064540353,0.2366479886948456,0.11242366763108018,
incidence_diarrhea_mean,mean_species_richness,biodiversidad,645,15,-0.18145493055736706,0.0027144764162509876,-0.12030873089391637,0.001931741336919415,0.028393534831622706,0.4547866605394958,0.061890256772912766,
fire_risk_index,idx_gobernanza,gobernanza,645,15,0.18620916531386605,5.948607186820942e-06,-0.20074637972525086,2.549848103224993e-07,-0.014319095440294522,0.704892267925157,0.2877664235868207,
fire_risk_index,UAI_env,gobernanza,645,15,0.05003163286418486,0.1580919994355654,-0.2620932723839669,2.127414108558888e-13,-0.055178574504258886,0.10802851208929065,0.2465652489147842,
fire_risk_index,UAI_Crisk,gobernanza,645,15,0.03646067777643608,0.35231625138389333,-0.257415051522048,1.095422108337426e-12,0.009455088596105556,0.807701376524463,0.25230289445713533,
fire_risk_index,idx_biodiv,biodiversidad,645,15,0.11023690746058187,0.03600299956934678,-0.2659087889696755,1.4717198975454254e-14,-0.00860048005593385,0.8006618997805839,0.27327761979886434,
