variable,type,label,aic,bic,aicc,llf,coef,se,p_value,r2_marginal,r2_conditional,n,converged,delta_aic,aic_weight,outcome,outcome_label,predictor_dimension
idx_vulnerabilidad,composite,Vulnerab. (idx),5103.877664758818,5121.754666026001,5103.940164758818,-2547.938832379409,0.3647829860950636,0.06414881660320684,1.296606258005119e-08,0.2805943421917157,0.5544548633104717,645,True,0.0,0.9950218393185808,incidence_mean_leishmaniose,Leishmaniasis,Vulnerabilidad
pct_preta,specific,% Pob. Negra,5114.517373756533,5132.394375023716,5114.579873756533,-2553.2586868782664,1.406267334018475,0.30406777446481875,3.7487263633842356e-06,0.2622903041294024,0.5850895478852345,645,True,10.639708997714479,0.004869105219855937,incidence_mean_leishmaniose,Leishmaniasis,Vulnerabilidad
pct_pobreza,specific,% Pobreza,5122.198193455448,5140.075194722631,5122.260693455448,-2557.099096727724,2.349463154119505,0.6407593891017219,0.0002457147006861763,0.264965638443711,0.5444242858193568,645,True,18.32052869662948,0.00010461172265774034,incidence_mean_leishmaniose,Leishmaniasis,Vulnerabilidad
pct_rural,specific,% Rural,5128.577289169467,5146.45429043665,5128.639789169467,-2560.2886445847334,0.12079169944366974,0.045641801178965734,0.008132596154705558,0.2598674821640472,0.5389327282100619,645,True,24.69962441064854,4.309008191441703e-06,incidence_mean_leishmaniose,Leishmaniasis,Vulnerabilidad
pct_indigena,specific,% Pob. Indígena,5135.507659093233,5153.384660360416,5135.570159093233,-2563.7538295466165,0.12503060407379293,0.7146896642469908,0.8611237073290516,0.25158154305335295,0.5463961087782857,645,True,31.629994334414732,1.3473071420168449e-07,incidence_mean_leishmaniose,Leishmaniasis,Vulnerabilidad
UAI_mob,specific,UAI Movilidad,7962.188669450994,7980.065670718177,7962.251169450994,-3977.094334725497,-29.449118147155033,19.63878983993465,0.13373403236661338,0.11646217888756487,0.2905966637560795,645,True,0.0,0.29389108904759914,incidence_diarrhea_mean,Diarrea,Gobernanza
UAI_housing,specific,UAI Vivienda,7962.549997544891,7980.426998812074,7962.612497544891,-3977.2749987724455,-16.36754471359711,11.917365337539083,0.1696218988522843,0.11688589863611595,0.29769166566585226,645,True,0.3613280938971002,0.24531551696127013,incidence_diarrhea_mean,Diarrea,Gobernanza
idx_gobernanza_100,composite,Gobernanza (idx),7963.569803957571,7981.446805224754,7963.632303957571,-3977.7849019787855,-0.23764432302620628,0.25543553220971754,0.3521901496040607,0.1158869241845805,0.2985926410215283,645,True,1.3811345065769274,0.1473251427989591,incidence_diarrhea_mean,Diarrea,Gobernanza
UAI_Crisk,specific,UAI Riesgo Clim.,7964.139484471343,7982.016485738526,7964.201984471343,-3978.0697422356716,-11.581694525591258,21.294502833127712,0.5865227494443672,0.11558881084964226,0.3014083484091238,645,True,1.9508150203491823,0.11080830685471545,incidence_diarrhea_mean,Diarrea,Gobernanza
UAI_food,specific,UAI Alimentación,7964.216535693888,7982.093536961071,7964.279035693888,-3978.108267846944,7.278632990325336,15.560282312546267,0.6399490886881967,0.1159482975875856,0.30541538218278974,645,True,2.0278662428936514,0.10662053528162227,incidence_diarrhea_mean,Diarrea,Gobernanza
UAI_env,specific,UAI Ambiental,7964.425570721116,7982.302571988299,7964.488070721116,-3978.212785360558,2.06401140707765,20.911378780168768,0.9213742543932267,0.11572956711734807,0.3054699060161321,645,True,2.2369012701219617,0.09603940905583383,incidence_diarrhea_mean,Diarrea,Gobernanza
fire_risk_index,specific,Riesgo Fuego (idx),7958.827512908401,7976.704514175584,7958.890012908401,-3975.4137564542007,0.9354718050884774,0.39409602632529206,0.017610118407475756,0.12204614697818524,0.30826263614138333,645,True,0.0,0.7363582380803472,incidence_diarrhea_mean,Diarrea,Riesgo Climático
hydric_stress_risk,specific,Estrés Hídrico,7961.92379271585,7979.800793983033,7961.98629271585,-3976.961896357925,57.56824856724166,36.25750251437772,0.11234039273674178,0.11978354038160532,0.3185930760073782,645,True,3.096279807448809,0.15658153004916273,incidence_diarrhea_mean,Diarrea,Riesgo Climático
flooding_risks,specific,Riesgo Inundación,7963.780983793298,7981.657985060481,7963.843483793298,-3977.890491896649,-18.743330431884285,23.145042566350305,0.41804333655013914,0.11566558703818325,0.2986500744294582,645,True,4.953470884896888,0.06186665198576135,incidence_diarrhea_mean,Diarrea,Riesgo Climático
idx_clima,composite,Clima (idx),7964.409036304465,7982.286037571648,7964.471536304465,-3978.2045181522326,0.060825625775176376,0.37525481096970215,0.8712337774909503,0.11592583528894725,0.3071139713647497,645,True,5.581523396063858,0.04519357988472871,incidence_diarrhea_mean,Diarrea,Riesgo Climático
idx_biodiv,composite,Biodiv (idx),7951.423302602603,7969.300303869786,7951.485802602603,-3971.7116513013016,-1.6069968070142098,0.41917298339485143,0.00012621373887554895,0.12249228358551219,0.2454023605850225,645,True,0.0,0.4640124085970078,incidence_diarrhea_mean,Diarrea,Biodiversidad
mean_species_richness,specific,Riqueza Spp,7951.423302602603,7969.300303869786,7951.485802602603,-3971.7116513013016,-0.31827514332906126,0.08301966798407925,0.0001262137388774466,0.12249228358558499,0.2454023605853235,645,True,0.0,0.4640124085970078,incidence_diarrhea_mean,Diarrea,Biodiversidad
forest_cover,specific,Cobertura Forestal,7955.309751075609,7973.186752342792,7955.372251075609,-3973.6548755378044,-1.1377657805596217,0.3643554814977163,0.0017921213847356598,0.12240305738060239,0.27764874655514843,645,True,3.8864484730056574,0.06646576865304434,incidence_diarrhea_mean,Diarrea,Biodiversidad
pol_deficit,specific,Déf. Polinización,7960.290208605309,7978.167209872492,7960.352708605309,-3976.1451043026545,65.19444302042675,31.59943969871712,0.03909820156509989,0.11812910969837409,0.2872180556251288,645,True,8.866906002705946,0.005509414152939925,incidence_diarrhea_mean,Diarrea,Biodiversidad
idx_vulnerabilidad,composite,Vulnerab. (idx),7953.988156461943,7971.865157729126,7954.050656461943,-3972.9940782309714,-1.9223536366138538,0.5918502990574349,0.0011620280151979055,0.12936237403343975,0.33046202756956433,645,True,0.0,0.6498623100322218,incidence_diarrhea_mean,Diarrea,Vulnerabilidad
pct_pobreza,specific,% Pobreza,7955.462066380902,7973.339067648085,7955.524566380902,-3973.731033190451,-17.919546774682146,5.944762444615439,0.0025753736276014926,0.1292782006812735,0.34830322568251665,645,True,1.4739099189591798,0.3110039304651989,incidence_diarrhea_mean,Diarrea,Vulnerabilidad
