lval,op,rval,Estimate,Std. Err,z-value,p-value
fire_incidence_mean_z,~,forest_cover_z,-0.24303448239900152,0.039585779839018585,-6.139439045566304,8.28134005814718e-10
fire_incidence_mean_z,~,pct_rural_z,0.060618300176676874,0.043656586823551634,1.3885258694247324,0.16497697296997504
fire_incidence_mean_z,~,log_pop_z,0.44944670249403673,0.043268131897670314,10.38747648145745,0.0
fire_risk_index_z,~,fire_incidence_mean_z,0.798036223263724,0.022955328958830824,34.76474785703117,0.0
fire_risk_index_z,~,forest_cover_z,-0.1394784359068824,0.023177594626281602,-6.017813243774089,1.7678898345252492e-09
fire_risk_index_z,~,pct_rural_z,0.02322606432827996,0.02347974218352539,0.9891958840837435,0.32256731180584475
mort_circ_rate_z,~,fire_risk_index_z,-0.21924817578850833,0.06833021127991791,-3.2086564885207105,0.0013335671578000863
mort_circ_rate_z,~,fire_incidence_mean_z,0.06585792975780957,0.067973539802881,0.9688759765612407,0.3326070730009021
mort_circ_rate_z,~,forest_cover_z,-0.038730628471760675,0.04045988365917056,-0.9572600059126667,0.3384360364769021
mort_circ_rate_z,~,idx_vulnerabilidad_z,-0.0029096613754874567,0.04059100258637316,-0.07168242196591072,0.9428546454102287
fire_incidence_mean_z,~~,fire_incidence_mean_z,0.8138605216960586,0.04531950138191127,17.958284995671708,0.0
fire_risk_index_z,~~,fire_risk_index_z,0.3228896538534205,0.017979982716841734,17.95828499506919,0.0
mort_circ_rate_z,~~,mort_circ_rate_z,0.973227824745495,0.0541938066445981,17.9582849957366,0.0
