Variable_Gob,Variable_Riesgo,r_Baja,p_Baja,r_Media,p_Media,r_Alta,p_Alta,H1_Confirmada
UAI General,Riesgo Total,0.605048573383128,7.386069068126055e-23,0.4122672717781247,3.136925081188437e-10,0.1287570755987419,0.05945734607248392,False
UAI General,Riesgo Salud,0.663513551228012,1.1863467506316816e-28,0.5378370004695088,1.6158213495358117e-17,0.26821958487995956,6.800037118534632e-05,False
UAI General,Riesgo Clima,0.22319112361589652,0.0009834731226448107,0.2401253660334309,0.00038155634517549904,-0.02285546025788377,0.7389706949971627,False
UAI General,Riesgo Nutricion,-0.12160815120674658,0.07518398658109846,-0.2947910214035839,1.1059145185340133e-05,-0.22377972098112733,0.0009527185385788469,False
UAI Vivienda,Riesgo Total,0.4893979178123468,2.386836064197229e-14,0.3767431211080569,1.1738559144890923e-08,0.14199899925109294,0.03747690162448579,False
UAI Vivienda,Riesgo Salud,0.5185614506351335,3.3904689152710285e-16,0.5110785670946772,1.0501379659283604e-15,0.2046236939007491,0.0025710911076863656,False
UAI Vivienda,Riesgo Clima,0.20496241626336553,0.0025281978426342226,0.22082576082046484,0.0011164934175078253,0.016457867956897382,0.8103851610495099,False
UAI Vivienda,Riesgo Nutricion,-0.061195313195441386,0.371907647893179,-0.2793828784306186,3.2425111477422374e-05,-0.1013617084395491,0.13849783336067667,False
UAI Ambiental,Riesgo Total,0.3267711709746534,9.651310479487599e-07,0.2964915021224101,9.7832284919106e-06,0.051725982528817875,0.4505276589466852,False
UAI Ambiental,Riesgo Salud,0.4057127095554383,6.322886863126173e-10,0.36246683275316605,4.474724654950392e-08,0.11423039525510445,0.0947898210788328,False
UAI Ambiental,Riesgo Clima,0.09549402852838675,0.16294189780766555,0.1394399317781973,0.04108595015287312,-0.05707177456656798,0.4050494813423564,False
UAI Ambiental,Riesgo Nutricion,-0.07635007282487798,0.2650161613634121,-0.11332637767612373,0.09744926621468392,0.004020110942314829,0.9532683197273362,True
UAI Alimentacion,Riesgo Total,0.2161729128023787,0.0014275050163602687,0.019664787663958884,0.7743503047658234,-0.04375380154857605,0.5233940335299292,False
UAI Alimentacion,Riesgo Salud,0.21522397684453853,0.0014999457910281964,0.060110737117063315,0.3804585767895856,0.005595708602962609,0.9349874488310864,False
UAI Alimentacion,Riesgo Clima,0.029080369799066585,0.6715615254105267,-0.08220457217806444,0.22999892788093085,-0.0848007609932703,0.21556534719767084,False
UAI Alimentacion,Riesgo Nutricion,0.07864676508809655,0.2508675108418022,0.014833444534336299,0.8287968144503032,-0.13621934116611342,0.046039295811834934,False
UAI Movilidad,Riesgo Total,0.5522485240725871,1.4569158592011509e-18,0.4308955343350645,3.931958441743102e-11,0.16072592744855502,0.01835790916984741,False
UAI Movilidad,Riesgo Salud,0.6029938321436401,1.123596530840876e-22,0.5676681490787304,9.729630450343446e-20,0.271329084907723,5.550360749275674e-05,False
UAI Movilidad,Riesgo Clima,0.23632058929602748,0.0004748274216474725,0.28321036009768735,2.496756490988809e-05,0.13212705756076704,0.0530444538638618,False
UAI Movilidad,Riesgo Nutricion,-0.1577079823571384,0.02069687772011528,-0.3471004170883197,1.7593352131431596e-07,-0.2660445624488047,7.826394171528836e-05,False
UAI Riesgo Climatico,Riesgo Total,0.44121467353267085,1.1770492616582973e-11,0.28390042839199303,2.3808642198442346e-05,0.08000077637075348,0.24277590688419665,False
UAI Riesgo Climatico,Riesgo Salud,0.5030020595359153,3.450290966007895e-15,0.32182612672538696,1.4338274766721175e-06,0.21834183175764094,0.0012738002285400158,False
UAI Riesgo Climatico,Riesgo Clima,0.16401099898671506,0.016076366684937532,0.24691545484780703,0.00025602293277164205,0.04628103658517755,0.49966368846049747,False
UAI Riesgo Climatico,Riesgo Nutricion,-0.24705447861769278,0.00025391015718047576,-0.2766026007774085,3.911033435129166e-05,-0.2474383209169962,0.00024816080914146193,False
